Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,0,0,1,1
0.000422875,1,1,0,1,1
0.000423125,1,0,0,1,1
0.003172625,1,1,0,1,1
0.003172875,1,0,0,1,1
0.030301125,1,1,1,1,1
0.030301250,1,0,0,1,1
0.034298625,1,1,1,1,1
0.034298750,1,0,0,1,1
0.035294000,1,1,0,1,1
0.035294250,1,0,0,1,1
0.037193875,1,1,0,1,1
0.037194125,1,0,0,1,1
0.040236125,1,0,1,1,1
0.040239750,1,1,1,1,1
0.040242250,1,0,1,1,1
0.040243500,1,0,0,1,1
0.041973625,1,1,1,1,1
0.042004500,0,1,1,1,1
0.042019875,0,0,1,1,1
0.042035250,1,1,1,1,1
0.042096375,0,1,1,1,1
0.042111625,0,0,1,1,1
0.042127000,0,0,0,1,1
0.042127375,1,1,1,1,1
0.042201875,0,1,0,1,1
0.042203500,1,1,1,1,1
0.042234625,0,1,1,1,1
0.042250000,0,0,1,1,1
0.042265375,1,1,1,1,1
0.042293375,0,1,0,1,1
0.042295875,1,1,1,1,1
0.042324875,0,0,1,1,1
0.042326500,0,1,1,1,1
0.042341875,0,0,1,1,1
0.042357375,1,1,1,1,1
0.042385875,0,1,1,1,1
0.042386125,0,1,0,1,1
0.042387875,1,1,1,1,1
0.042418375,0,0,1,1,1
0.042418500,0,1,1,1,1
0.042433875,0,0,1,1,1
0.042449250,1,1,1,1,1
0.042478875,0,1,0,1,1
0.042479750,1,1,1,1,1
0.042508000,0,1,1,1,1
0.042508250,0,0,1,1,1
0.042510375,0,1,1,1,1
0.042525625,0,0,1,1,1
0.042556250,0,1,1,1,1
0.042571500,0,0,1,1,1
0.042586875,0,0,0,1,1
0.042587125,0,1,0,1,1
0.042587250,1,1,1,1,1
0.042614750,0,1,0,1,1
0.042617375,1,1,1,1,1
0.042647625,0,0,1,1,1
0.042648000,0,1,1,1,1
0.042663375,0,0,1,1,1
0.042678625,1,1,1,1,1
0.042704250,0,1,0,1,1
0.042709250,1,1,1,1,1
0.042827250,0,0,1,1,1
0.042831750,0,1,1,1,1
0.042847000,0,0,1,1,1
0.042877625,0,1,1,1,1
0.042892875,0,0,1,1,1
0.042923500,0,1,1,1,1
0.042938750,0,0,1,1,1
0.042969375,0,1,1,1,1
0.042985750,0,0,1,1,1
0.043001125,1,1,0,1,1
0.043001375,1,1,1,1,1
0.043075375,0,1,0,1,1
0.043077500,1,1,1,1,1
0.043107500,0,0,1,1,1
0.043108375,0,1,1,1,1
0.043123625,0,0,1,1,1
0.043154250,0,1,1,1,1
0.043169500,0,0,1,1,1
0.043184875,1,1,1,1,1
0.043352125,0,1,0,1,1
0.043353750,1,1,1,1,1
0.043384375,0,1,1,1,1
0.043399625,0,0,1,1,1
0.043430250,0,1,1,1,1
0.043445500,0,0,1,1,1
0.043460875,0,0,0,1,1
0.043461125,0,1,0,1,1
0.043461250,1,1,1,1,1
0.043487625,1,0,0,1,1
0.053291875,1,1,1,1,1
0.053292125,1,0,0,1,1
0.068327000,1,1,0,1,1
0.068327125,1,0,0,1,1
0.094229625,1,0,1,1,1
0.094233250,1,1,1,1,1
0.094235875,1,0,1,1,1
0.094237000,1,0,0,1,1
0.095967125,1,1,1,1,1
0.095998000,0,1,1,1,1
0.096013250,0,0,1,1,1
0.096028750,0,0,0,1,1
0.096029000,1,1,1,1,1
0.096088625,0,0,1,1,1
0.096089875,0,1,1,1,1
0.096105125,0,0,1,1,1
0.096120500,1,1,1,1,1
0.096149500,0,1,0,1,1
0.096151000,1,1,0,1,1
0.096151125,1,1,1,1,1
0.096196500,0,1,0,1,1
0.096196875,1,1,1,1,1
0.096224625,0,0,1,1,1
0.096228250,0,1,1,1,1
0.096243500,0,0,1,1,1
0.096258875,1,1,1,1,1
0.096287375,0,1,0,1,1
0.096289375,1,1,1,1,1
0.096318500,0,0,1,1,1
0.096320000,0,1,1,1,1
0.096335250,0,0,1,1,1
0.096350875,1,1,1,1,1
0.096379500,0,1,0,1,1
0.096381375,1,1,1,1,1
0.096412000,0,1,1,1,1
0.096427250,0,0,1,1,1
0.096442625,0,0,0,1,1
0.096442750,1,1,1,1,1
0.096503875,0,1,1,1,1
0.096519125,0,0,1,1,1
0.096549625,0,1,1,1,1
