name,type,start_time,duration
"ICM42688 SPI","error",0.312583875,0.000001
"ICM42688 SPI","error",0.312612375,0.000034
"ICM42688 SPI","error",0.312673125,0.0000035
"ICM42688 SPI","error",0.312720125,0.0000025
"ICM42688 SPI","error",0.312762875,0.00000575
"ICM42688 SPI","enable",0.312795125,0.000000125
"ICM42688 SPI","disable",0.312968375,0.000000125
"ICM42688 SPI","error",0.31304375,0.000001125
"ICM42688 SPI","error",0.3130755,0.000077
"ICM42688 SPI","error",0.313227375,0.000001875
"ICM42688 SPI","error",0.313273875,0.00000125
"ICM42688 SPI","error",0.313348875,0.000079375
"ICM42688 SPI","enable",0.365965,0.000000125
"ICM42688 SPI","disable",0.365996,0.000000125
"ICM42688 SPI","error",0.366021875,0.000005
"ICM42688 SPI","enable",0.366052875,0.000000125
"ICM42688 SPI","disable",0.366053,0.000000125
"ICM42688 SPI","error",0.36605425,0.000034
"ICM42688 SPI","error",0.366118,0.00000025
"ICM42688 SPI","error",0.366162125,0.00000225
"ICM42688 SPI","enable",0.366195,0.000000125
"ICM42688 SPI","disable",0.366226125,0.000000125
"ICM42688 SPI","error",0.366256,0.00000075
"ICM42688 SPI","error",0.36628725,0.00003125
"ICM42688 SPI","error",0.36637925,0.000030875
"ICM42688 SPI","error",0.366471125,0.000076875
"ICM42688 SPI","error",0.366575125,0.000003125
"ICM42688 SPI","error",0.366607875,0.000031625
"ICM42688 SPI","error",0.366669,0.000001125
"ICM42688 SPI","error",0.366715875,0.00000025
"ICM42688 SPI","error",0.366758375,0.000003625
"ICM42688 SPI","enable",0.366791,0.000000125
"ICM42688 SPI","disable",0.36696175,0.000000125
"ICM42688 SPI","error",0.36703575,0.0000025
"ICM42688 SPI","enable",0.36706525,0.000000125
"ICM42688 SPI","disable",0.3671455,0.000000125
"ICM42688 SPI","error",0.367175875,0.00000025
"ICM42688 SPI","error",0.36723225,0.000001375
"ICM42688 SPI","error",0.367279125,0.0000005
"ICM42688 SPI","error",0.367322625,0.000002875
"ICM42688 SPI","enable",0.36735425,0.000000125
"ICM42688 SPI","disable",0.367432625,0.000000125
"ICM42688 SPI","enable",0.41995675,0.000000125
"ICM42688 SPI","disable",0.419989875,0.000000125
"ICM42688 SPI","error",0.420018375,0.00000175
"ICM42688 SPI","error",0.42005025,0.00003125
"ICM42688 SPI","error",0.42011125,0.00000075
"ICM42688 SPI","enable",0.420186375,0.000000125
"ICM42688 SPI","disable",0.42022,0.000000125
"ICM42688 SPI","error",0.42024775,0.0000025
"ICM42688 SPI","enable",0.42028025,0.000000125
"ICM42688 SPI","disable",0.420311625,0.000000125
"ICM42688 SPI","error",0.420341375,0.000000875
"ICM42688 SPI","error",0.42036975,0.000033875
"ICM42688 SPI","error",0.420464625,0.000076625
"ICM42688 SPI","error",0.420571125,0.000000625
"ICM42688 SPI","error",0.42060225,0.000031125
"ICM42688 SPI","error",0.42075075,0.00000475
"ICM42688 SPI","error",0.420786,0.0001695
"ICM42688 SPI","error",0.420984125,0.000001875
"ICM42688 SPI","error",0.421059375,0.000080125
"ICM42688 SPI","error",0.42116725,0.0000025
"ICM42688 SPI","error",0.421261,0.00000125
"ICM42688 SPI","enable",0.421336375,0.000000125
"ICM42688 SPI","disable",0.421415125,0.000000125
