segment,rows,duration_s,active_pct,tilt_sat_pct,protect_pct,thrust_protect_pct,roll_rms_deg,pitch_rms_deg,gyro_xy_rms_dps
1,366,3.483407,0,46.7213114754098,65.0273224043716,15.3005464480874,5.61375630954839,4.98405746603638,46.9631426024743
2,831,7.235828,0,3.73044524669073,18.4115523465704,0,6.70991968200583,4.03555405526867,33.8698826547303
3,626,5.34360700000001,0,2.3961661341853,3.19488817891374,0,3.41458872374631,1.63802957662882,15.315796669988
4,567,4.79203000000001,0,2.11640211640212,9.70017636684303,0,5.96803563113086,5.28585051037051,41.4120481864397
5,2119,18.880509,97.1212836243511,1.22699386503067,9.86314299197735,2.54837187352525,4.05207114729535,1.47574629013417,15.0104067485451
6,1202,10.551595,94.7587354409318,0,5.99001663893511,0,3.60598202566493,4.28308143865692,30.3677381377394
7,524,4.47244799999999,88.7404580152672,9.9236641221374,20.8015267175573,0,11.9360076163905,2.99317684874793,55.3477716848149
8,1114,9.90745899999999,94.3447037701975,0,26.7504488330341,6.46319569120287,4.76415260953247,2.26177821729557,16.5772808920689
9,999,8.89610200000001,94.6946946946947,1.5015015015015,26.9269269269269,0,4.42532903493135,2.46804662206646,17.5925505318532
10,810,7.012057,92.3456790123457,2.22222222222222,13.5802469135802,6.66666666666667,5.21204550467407,5.51073093656137,31.339195990294
