key,count,duration_s,roll_rms_deg,pitch_rms_deg,gyro_xy_rms_dps,yaw_rate_rms_dps,tilt_saturation_pct,motor_high_saturation_pct,motor_low_saturation_pct,direct_throttle_pct,throttle_mean_us,total_force_mean_n
"roll_angle_kp=-10, roll_rate_kd=-5, pitch_angle_kp=-10, pitch_rate_kd=-5, pos_z_kp=0, yaw_rate_kd=0.15",1044,6.047732999999968,3.1877657281883334,4.344409247540927,21.12924702157217,46.067649840877266,63.45785440613027,33.62068965517241,7.758620689655173,8.045977011494253,1558.6149425287356,12.822968277894674
"roll_angle_kp=-10, roll_rate_kd=-3.2, pitch_angle_kp=-10, pitch_rate_kd=-3.2, pos_z_kp=0, yaw_rate_kd=0.15",1104,6.396580999999962,3.1122033960608286,2.715351923659038,18.128580728956354,23.640077505156736,45.8786231884058,51.992753623188406,7.608695652173913,7.608695652173913,1574.776268115942,14.150758572678635
"roll_angle_kp=-10, roll_rate_kd=-1.5, pitch_angle_kp=-10, pitch_rate_kd=-1.5, pos_z_kp=0, yaw_rate_kd=0.15",900,5.207901999999988,1.9689679345733495,3.068232044266798,12.341613808751317,41.10057887743031,0.1111111111111111,59.666666666666664,8.555555555555555,9.333333333333334,1639.7388888888888,14.050607506963942
"roll_angle_kp=-10, roll_rate_kd=-0.5, pitch_angle_kp=-10, pitch_rate_kd=-0.5, pos_z_kp=0, yaw_rate_kd=0.15",492,2.7718,3.5788093558302765,7.56921119680171,31.607774690515754,54.82350326992198,0.0,64.02439024390245,17.073170731707318,17.073170731707318,1574.1178861788617,13.737407376126546
"roll_angle_kp=-8, roll_rate_kd=-1, pitch_angle_kp=-8, pitch_rate_kd=-1, pos_z_kp=1, yaw_rate_kd=0.15",2280,13.667863999999986,2.662247318572036,3.814704776004687,14.888275152038357,29.863544809447305,0.4605263157894737,7.5,0.5701754385964912,3.6842105263157894,1559.425,12.177734947832008
"roll_angle_kp=-8, roll_rate_kd=-1, pitch_angle_kp=-8, pitch_rate_kd=-1, pos_z_kp=0, yaw_rate_kd=0.15",2016,11.887604999999981,3.0782134545770177,5.856246607827916,19.722588845323607,68.14320539104025,0.2728174603174603,37.15277777777778,3.7202380952380953,4.067460317460317,1592.4007936507937,12.992249748063466
"roll_angle_kp=-5, roll_rate_kd=-1.5, pitch_angle_kp=-5, pitch_rate_kd=-1.5, pos_z_kp=0, yaw_rate_kd=0.15",792,4.571657999999992,1.9281974585002901,3.200859336106109,15.7297330362589,34.0200702012959,7.954545454545454,25.505050505050505,10.606060606060606,10.606060606060606,1549.2550505050506,13.867094092296831
"roll_angle_kp=-1.5, roll_rate_kd=-1, pitch_angle_kp=-1.5, pitch_rate_kd=-1, pos_z_kp=0, yaw_rate_kd=0.5",1071,6.2402119999999694,4.414111054153341,2.080943465597437,14.123808225687956,15.662044647525766,0.0,27.357609710550886,6.2558356676003735,7.8431372549019605,1596.8991596638655,12.361864464400975
"roll_angle_kp=-1, roll_rate_kd=-1.5, pitch_angle_kp=-1, pitch_rate_kd=-1.5, pos_z_kp=0, yaw_rate_kd=0.15",1356,7.903772999999947,1.9426543244261083,1.6294308407946752,8.724094684148044,18.289075205485485,1.1799410029498525,3.9085545722713864,6.342182890855457,6.342182890855457,1540.72197640118,13.114426268940479
"roll_angle_kp=-0, roll_rate_kd=-1, pitch_angle_kp=-0, pitch_rate_kd=-1, pos_z_kp=0, yaw_rate_kd=0.5",1152,6.716248999999958,2.9923623494044573,4.397409082433393,13.838872008869037,30.400680054389788,0.0,28.385416666666668,6.336805555555555,7.291666666666667,1646.7508680555557,12.53902443498373
