t_s,sample_ms,height_m,raw_flow_x,raw_flow_y,flow_x_no_height_m_s,flow_y_no_height_m_s,flow_x_with_height_m_s,flow_y_with_height_m_s,app_vx_m_s,app_vy_m_s,vofa_vx_m_s,vofa_vy_m_s,acc_nav_x_m_s2,acc_nav_y_m_s2,acc_nav_z_m_s2,rate_roll_rad_s,rate_pitch_rad_s,rate_roll_dps,rate_pitch_dps,moment_roll_n_m,moment_pitch_n_m,tilt_out_0_rad,tilt_out_1_rad,force_cmd_x_n,force_cmd_y_n,horizontal_scale,protection_flags,roll_est_deg,pitch_est_deg,roll_acc_deg,pitch_acc_deg,alpha,dt_ms,vel_ref_x_m_s,vel_ref_y_m_s,vel_loop_active,flow_quality,flow_valid,ekf_vx_m_s,ekf_vy_m_s,ekf_updates,ekf_rejects,ekf_skips
0.0,2800682,0.3803602457046509,5,-1,0.05,-0.01,0.019018012285232547,-0.003803602457046509,0.019018011167645454,-0.003803602419793606,0.015214408747851849,-0.003042882075533271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.23623689589479824,-0.27425277535352244,-0.7557560801506042,-0.9152610301971436,0.9802383780479431,1.0080000162124634,0.0,0.05120000243186951,0.0,108,1,0.015191606245934963,-0.0030388692393898964,1,0,1
0.01600000000325963,2800691,0.3812841773033142,4,-2,0.04,-0.02,0.015251367092132569,-0.0076256835460662845,0.015214409679174423,-0.007607204839587212,0.012171528302133083,-0.006085764151066542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.252555348681911,-0.1748839277885379,-0.33668458461761475,-0.6126051545143127,0.9802191853523254,1.0089999437332153,0.0,0.05120000243186951,0.0,109,1,0.012171528302133083,-0.006085764151066542,1,0,1
0.03200000000651926,2800702,0.38118472695350647,4,-1,0.04,-0.01,0.01524738907814026,-0.003811847269535065,0.015247388742864132,-0.003811847185716033,0.01219791080802679,-0.0030494777020066977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1773226716009404,-0.08904784441422464,0.27906283736228943,-0.4002383351325989,0.9802191853523254,1.0410000085830688,0.0,0.05120000243186951,0.0,108,1,0.01219791080802679,-0.0030494777020066977,1,0,1
0.03200000000651926,2800711,0.38182008266448975,-1,-2,-0.01,-0.02,-0.0038182008266448974,-0.007636401653289795,-0.003811847185716033,-0.007623694371432066,-0.0030494777020066977,-0.006098955404013395,-6.904609472258016e-05,-0.00041024701204150915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.009711959032435158,0.033388953384084985,0.8209225535392761,-0.22254368662834167,0.9784736037254333,1.100000023841858,0.0,0.05120000243186951,0.0,110,1,-0.0030494777020066977,-0.006098955404013395,1,0,0
0.04700000000593718,2800722,0.3829330503940582,-4,-2,-0.04,-0.02,-0.01531732201576233,-0.007658661007881165,-0.015317321754992008,-0.007658660877496004,-0.012253857217729092,-0.006126928608864546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.24984551923888176,0.23716965230624965,1.3793967962265015,0.4389810264110565,0.9802768230438232,1.0059999227523804,0.0,0.05120000243186951,0.0,108,1,-0.012253857217729092,-0.006126928608864546,1,0,0
0.06300000000919681,2800731,0.3840065002441406,-5,-1,-0.05,-0.01,-0.01920032501220703,-0.003840065002441406,-0.019146651029586792,-0.003829330438748002,-0.015317320823669434,-0.003063464304432273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5119814508321561,0.4842868371691882,1.8727058172225952,0.978833794593811,0.9802575707435608,1.0069999694824219,0.0,0.05120000243186951,0.0,109,1,-0.015317320823669434,-0.0030593236442655325,0,0,0
0.06300000000919681,2800742,0.38505423069000244,5,0,0.05,0.0,0.019252711534500123,0.0,0.019252710044384003,0.0,0.015402168035507202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.841673578652145,0.7677093214986641,2.291149377822876,1.0301858186721802,0.9802191853523254,1.0089999437332153,0.0,0.05120000243186951,0.0,107,1,0.015402168035507202,0.0,1,0,1
0.07800000000861473,2800751,0.38573527336120605,5,-2,0.05,-0.02,0.019286763668060303,-0.007714705467224121,0.019252710044384003,-0.007701084483414888,0.015402168035507202,-0.006160867866128683,-0.00045694471918977797,-0.0004254770465195179,1.9912720745196566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2050042262727345,0.9979107639058533,2.7471530437469482,1.0095287561416626,0.9802191853523254,1.0089999437332153,0.0,0.05120000243186951,0.0,108,1,0.015402168035507202,-0.006160867866128683,1,0,0
0.09400000001187436,2800762,0.3858279287815094,12,-3,0.12,-0.03,0.046299351453781126,-0.011574837863445282,0.04629934951663017,-0.011574837379157543,0.036984339356422424,-0.009246239438652992,0.0008591464720666409,-0.0003677934582810849,0.00012662887456826866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5929654620689462,1.2581887516290067,3.202136516571045,1.6287988424301147,0.9811232089996338,0.9620000123977661,0.0,0.05120000243186951,0.0,108,1,0.03703948110342026,-0.009259870275855064,1,0,0
0.09400000001187436,2800771,0.386238157749176,5,-2,0.05,-0.02,0.019311907887458804,-0.007724763154983521,0.01929139532148838,-0.0077165584079921246,0.015433116815984249,-0.006173247005790472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.988558690291704,1.541112646196261,3.5189223289489746,1.830127239227295,0.9808537364006042,0.9759999513626099,0.0,0.05120000243186951,0.0,108,1,0.015411044470965862,-0.0061646075919270515,1,0,1
