pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
1.466057,1784370865.968503,30,-3.01607633,-3.23527384,-1.21557808,0.449999958,111.718002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.498131,1784370866.000576,31,-3.01526713,-3.23402739,-1.21575165,0.449999958,111.743004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.529948,1784370866.032394,32,-3.01572394,-3.2372508,-1.21634674,0.449999958,111.768005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.529948,1784370866.032394,33,-3.01838422,-3.23535347,-1.21702385,0.449999958,111.793007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.561061,1784370866.063507,34,-3.02037311,-3.23402452,-1.21736717,0.449999958,111.818008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.591933,1784370866.094378,35,-3.02021813,-3.238873,-1.21760941,0.449999958,111.843002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.622934,1784370866.125380,36,-3.01771784,-3.23824024,-1.21822739,0.449999958,111.868004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.654019,1784370866.156464,37,-3.01713419,-3.23753977,-1.21824837,0.449999958,111.893005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.684891,1784370866.187337,38,-3.01867342,-3.23671103,-1.21823311,0.449999958,111.918007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.684891,1784370866.187337,39,-3.01789665,-3.23663378,-1.21862793,0.449999958,111.943008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.730833,1784370866.233278,40,-3.01618862,-3.23560953,-1.21914291,0.449999958,111.968002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.730833,1784370866.233278,41,-3.01991487,-3.22813702,-1.21968269,0.449999958,111.993004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.762046,1784370866.264491,42,-3.02107477,-3.22961903,-1.21991539,0.449999958,112.018005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.793114,1784370866.295560,43,-3.01894522,-3.2321949,-1.22043037,0.449999958,112.043007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.824143,1784370866.326588,44,-3.01743054,-3.23202705,-1.22080803,0.449999958,112.068008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.855141,1784370866.357587,45,-3.01745749,-3.23240519,-1.22161102,0.449999958,112.093002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.855141,1784370866.357587,46,-3.01331639,-3.2327075,-1.22186661,0.449999958,112.118004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.886370,1784370866.388816,47,-3.01250029,-3.23632574,-1.22224045,0.449999958,112.143005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.918283,1784370866.420728,48,-3.01293468,-3.2387948,-1.22313118,0.449999958,112.168007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.949719,1784370866.452164,49,-3.01496601,-3.24007893,-1.2233963,0.449999958,112.193008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.981128,1784370866.483573,50,-3.01223302,-3.243505,-1.22419739,0.449999958,112.218002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.981128,1784370866.483573,51,-3.01451969,-3.23971176,-1.22469521,0.449999958,112.243004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.012135,1784370866.514581,52,-3.01342416,-3.2346077,-1.22524834,0.449999958,112.268005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.042940,1784370866.545385,53,-3.01384711,-3.23265028,-1.22560883,0.449999958,112.293007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.073941,1784370866.576387,54,-3.00958872,-3.23174,-1.22581673,0.449999958,112.318008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.104496,1784370866.606941,55,-3.00788331,-3.22975636,-1.22571564,0.449999958,112.343002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.135127,1784370866.637572,56,-3.01099157,-3.22728157,-1.22622871,0.449999958,112.368004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.135127,1784370866.637572,57,-3.01206994,-3.22916126,-1.22647476,0.449999958,112.393005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.166726,1784370866.669171,58,-3.01320887,-3.23469162,-1.22729111,0.449999958,112.418007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.197732,1784370866.700178,59,-3.01214385,-3.23676062,-1.22730064,0.449999958,112.443008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.228724,1784370866.731169,60,-3.01253128,-3.24037457,-1.22729683,0.449999958,112.468002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.259728,1784370866.762173,61,-3.01303649,-3.24078035,-1.22769928,0.449999958,112.493004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.259728,1784370866.762173,62,-3.00831079,-3.24414682,-1.22770119,0.449999958,112.518005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.291730,1784370866.794176,63,-3.01203609,-3.24451208,-1.22806549,0.449999958,112.543007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.322716,1784370866.825162,64,-3.01091337,-3.2458725,-1.22890854,0.449999958,112.568008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.354219,1784370866.856664,65,-3.00967503,-3.25104761,-1.22939491,0.449999958,112.593002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.386149,1784370866.888594,66,-3.01135969,-3.24878359,-1.22983551,0.449999958,112.618004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.386149,1784370866.888594,67,-3.0153563,-3.24313736,-1.23002434,0.449999958,112.643005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.417141,1784370866.919587,68,-3.0129137,-3.24590588,-1.23071098,0.449999958,112.668007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.448139,1784370866.950584,69,-3.01084423,-3.24634933,-1.2307148,0.449999958,112.693008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.479206,1784370866.981652,70,-3.01267052,-3.24594975,-1.23092079,0.449999958,112.718002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.510125,1784370867.012571,71,-3.01493168,-3.24564981,-1.23105812,0.449999958,112.743004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.510125,1784370867.012571,72,-3.0140667,-3.24921179,-1.23073196,0.449999958,112.768005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.540516,1784370867.042961,73,-3.01634789,-3.25166512,-1.23106956,0.449999958,112.793007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.572623,1784370867.075068,74,-3.01942396,-3.24373007,-1.23138809,0.449999958,112.818008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.602627,1784370867.105073,75,-3.01680803,-3.23985767,-1.23145866,0.449999958,112.843002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.633557,1784370867.136003,76,-3.01341081,-3.23956871,-1.23163033,0.449999958,112.868004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.633557,1784370867.136003,77,-3.01675653,-3.23611164,-1.23181534,0.449999958,112.893005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.664890,1784370867.167336,78,-3.01523376,-3.23772573,-1.23280144,0.449999958,112.918007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.695892,1784370867.198337,79,-3.01188159,-3.24087954,-1.23278809,0.449999958,112.943008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.727228,1784370867.229673,80,-3.01192403,-3.24323034,-1.23357964,0.449999958,112.968002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.759166,1784370867.261611,81,-3.01572299,-3.23981953,-1.2336731,0.449999958,112.993004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.759166,1784370867.261611,82,-3.01924586,-3.24008036,-1.23407555,0.449999958,113.018005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.790599,1784370867.293044,83,-3.01230931,-3.24727345,-1.23450851,0.449999958,113.043007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.821611,1784370867.324057,84,-3.01335859,-3.24562263,-1.23439789,0.449999958,113.068008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.853683,1784370867.356128,85,-3.01722527,-3.23539543,-1.23477173,0.449999958,113.093002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.885674,1784370867.388119,86,-3.01501918,-3.22950268,-1.23497772,0.449999958,113.118004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.885674,1784370867.388119,87,-3.00769234,-3.23360157,-1.2358799,0.449999958,113.143005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.916773,1784370867.419219,88,-3.01266265,-3.23227406,-1.23638725,0.449999958,113.168007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.948301,1784370867.450747,89,-3.01239038,-3.22765446,-1.23670578,0.449999958,113.193008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.979382,1784370867.481827,90,-3.01224685,-3.23109055,-1.23677635,0.449999958,113.218002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.010380,1784370867.512825,91,-3.00840282,-3.23401165,-1.23726845,0.449999958,113.243004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.010380,1784370867.512825,92,-3.0135076,-3.23662567,-1.23777962,0.449999958,113.268005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.042304,1784370867.544749,93,-3.01927423,-3.23955011,-1.23805237,0.449999958,113.293007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.073383,1784370867.575828,94,-3.01043987,-3.24225616,-1.2384491,0.449999958,113.318008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.103944,1784370867.606389,95,-3.01228452,-3.24362803,-1.23885727,0.449999958,113.343002,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.135321,1784370867.637767,96,-3.01155615,-3.2433362,-1.23950958,0.449999958,113.368004,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.135321,1784370867.637767,97,-3.01381636,-3.24389982,-1.24014282,0.449999958,113.393005,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.181313,1784370867.683758,98,-3.00810361,-3.24933195,-1.24110603,0.449999958,113.418007,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
3.212104,1784370867.714549,99,-3.01053858,-3.24775362,-1.24119377,0.449999958,113.443008,0,0,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
