pc_elapsed_s,pc_unix_s,frame_index,roll_deg,pitch_deg,yaw_deg,range_height_m,fc_time_s,vel_est_x_m_s,vel_est_y_m_s,coax_roll_rate_kd,coax_pitch_rate_kd,coax_yaw_angle_kp,coax_yaw_rate_kd,vel_loop_x_kp,vel_loop_y_kp,vel_loop_x_ki,vel_loop_y_ki,vel_loop_x_kd,vel_loop_y_kd,vel_loop_enable
0.735675,1784371362.885240,26,-2.94624758,-3.44475365,-9.96665192,0.450000018,608.528015,-0.000794163265,0.000923418265,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.767673,1784371362.917238,27,-2.94332504,-3.44684029,-9.96722031,0.450000018,608.55304,-0.000844065566,0.000891380827,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.798806,1784371362.948371,28,-2.94211769,-3.44434166,-9.96813393,0.450000018,608.578003,-0.000774568063,0.000762657786,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.830806,1784371362.980372,29,-2.94114184,-3.43921471,-9.96882439,0.450000018,608.603027,-0.000580876425,0.000652151473,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.830806,1784371362.980372,30,-2.94001675,-3.43569279,-9.96952629,0.450000018,608.628052,-0.000407311134,0.000589193194,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.861809,1784371363.011374,31,-2.93903852,-3.43502235,-9.97009277,0.450000018,608.653015,-0.000298408559,0.000486357399,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.892923,1784371363.042488,32,-2.94074559,-3.43901825,-9.971241,0.450000018,608.67804,-0.000340462517,0.00049875601,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.924797,1784371363.074362,33,-2.93992352,-3.44197702,-9.97128868,0.450000018,608.703003,-0.000466813915,0.000515107298,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.956797,1784371363.106362,34,-2.94081926,-3.44333458,-9.97200584,0.450000018,608.728027,-0.000519841968,0.000513677427,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.956797,1784371363.106362,35,-2.94275761,-3.44161654,-9.97250175,0.450000018,608.753052,-0.000388840475,0.000589092437,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
0.987807,1784371363.137372,36,-2.94292736,-3.44059229,-9.97256851,0.450000018,608.778015,-0.000343118299,0.000605560374,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.019803,1784371363.169369,37,-2.94414473,-3.43712616,-9.97283554,0.450000018,608.80304,-0.000258545711,0.000611191324,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.051807,1784371363.201372,38,-2.94233894,-3.43185234,-9.97301102,0.450000018,608.828003,-7.27675724e-05,0.000580073684,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.051807,1784371363.201372,39,-2.94040513,-3.43180656,-9.973032,0.450000018,608.853027,1.57252798e-05,0.00045022316,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.082840,1784371363.232405,40,-2.93897915,-3.43245935,-9.97346878,0.450000018,608.878052,-5.44757859e-05,0.00040921857,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.114697,1784371363.264262,41,-2.93872762,-3.43572807,-9.97440147,0.450000018,608.903015,-0.000104089049,0.000332273019,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.145691,1784371363.295256,42,-2.93650293,-3.43811798,-9.97502136,0.450000018,608.92804,-0.000232681385,0.000241974834,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.175691,1784371363.325256,43,-2.93723178,-3.43704653,-9.9760952,0.450000018,608.953003,-0.000304176647,0.000274792372,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.175691,1784371363.325256,44,-2.93909359,-3.43332863,-9.9767704,0.450000018,608.978027,-0.000191985964,0.000285932096,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.207460,1784371363.357026,45,-2.93776727,-3.43404245,-9.97747993,0.450000018,609.003052,-0.000211418592,0.000367233239,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.239458,1784371363.389023,46,-2.93800783,-3.43322372,-9.97827148,0.450000018,609.028015,-0.00027244896,0.000424514059,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.270465,1784371363.420030,47,-2.93690729,-3.43123341,-9.97904778,0.450000018,609.05304,-0.000208258702,0.000449101004,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.301857,1784371363.451422,48,-2.9369092,-3.43250656,-9.98004913,0.450000018,609.078003,-0.000234392719,0.000389244669,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.301857,1784371363.451422,49,-2.93654251,-3.43139267,-9.98046112,0.450000018,609.103027,-0.000239790214,0.000396834832,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.331946,1784371363.481512,50,-2.93425202,-3.42905283,-9.98066139,0.450000018,609.128052,-0.000206279248,0.000317549333,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.362247,1784371363.511813,51,-2.93534994,-3.42931509,-9.98070526,0.450000018,609.153015,-0.000202600015,0.000355453347,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.393247,1784371363.542813,52,-2.93716002,-3.42811823,-9.98125267,0.450000018,609.17804,-0.000208142097,0.000375004573,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.424292,1784371363.573858,53,-2.93639708,-3.43084955,-9.98211479,0.450000018,609.203003,-0.000251189165,0.000366838503,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.455490,1784371363.605055,54,-2.93621397,-3.43426657,-9.98270607,0.450000018,609.228027,-0.000426983141,0.00043803209,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.455490,1784371363.605055,55,-2.93508434,-3.43760061,-9.98348427,0.450000018,609.253052,-0.000561537163,0.000416315452,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.486890,1784371363.636456,56,-2.93827486,-3.43693542,-9.98427391,0.450000018,609.278015,-0.000574936508,0.000445653568,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.518331,1784371363.667896,57,-2.93644881,-3.43284321,-9.98475456,0.450000018,609.30304,-0.000431712484,0.000452041189,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.550418,1784371363.699984,58,-2.93569279,-3.43406677,-9.98553085,0.450000018,609.328003,-0.000392668037,0.000362209714,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.550418,1784371363.699984,59,-2.936239,-3.43507099,-9.98605156,0.450000018,609.353027,-0.000370829337,0.000364967855,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.582418,1784371363.731984,60,-2.9365437,-3.4357233,-9.98662376,0.450000018,609.378052,-0.000383833831,0.000355882716,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.614504,1784371363.764070,61,-2.9377377,-3.43366194,-9.98717308,0.450000018,609.403015,-0.000342640327,0.000374245865,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.645417,1784371363.794982,62,-2.93602347,-3.43249846,-9.98769188,0.450000018,609.42804,-0.000257696753,0.000351431168,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.675433,1784371363.824998,63,-2.93721485,-3.43287754,-9.98748779,0.450000018,609.453003,-0.000223669776,0.000311752374,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.675433,1784371363.824998,64,-2.9378376,-3.43013096,-9.98817444,0.450000018,609.478027,-0.000146830949,0.000313867931,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.707523,1784371363.857089,65,-2.93791032,-3.43078756,-9.98890495,0.450000018,609.503052,-0.000202289841,0.000263007416,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.738420,1784371363.887985,66,-2.93625355,-3.43130493,-9.98930359,0.450000018,609.528015,-0.000174877743,0.00023360613,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.770418,1784371363.919984,67,-2.9355042,-3.43182135,-9.98999977,0.450000018,609.55304,-0.000195825181,0.000183800483,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.802419,1784371363.951985,68,-2.93627119,-3.43102884,-9.99081039,0.450000018,609.578003,-0.000168306753,0.000172472995,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.802419,1784371363.951985,69,-2.93970752,-3.43344879,-9.99132538,0.450000018,609.603027,-0.000193077358,0.000237679138,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.833409,1784371363.982975,70,-2.94140673,-3.43267441,-9.99211121,0.450000018,609.628052,-0.000195035274,0.000308166404,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.864650,1784371364.014216,71,-2.94123554,-3.43207884,-9.99288559,0.450000018,609.653015,-0.000181620751,0.000297478196,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.896662,1784371364.046228,72,-2.94118595,-3.42759466,-9.99334908,0.450000018,609.67804,-4.63894721e-05,0.000252890226,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.928198,1784371364.077763,73,-2.94301844,-3.42757463,-9.9937458,0.450000018,609.703003,-5.56130726e-05,0.000266842078,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.928198,1784371364.077763,74,-2.94011211,-3.42422819,-9.99373817,0.450000018,609.728027,4.45243168e-05,0.000222300558,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.959204,1784371364.108770,75,-2.93789554,-3.4291997,-9.99432945,0.450000018,609.753052,-4.42209966e-05,0.000111462294,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
1.991191,1784371364.140756,76,-2.93717337,-3.4231019,-9.99434853,0.450000018,609.778015,2.21810333e-05,4.74782137e-05,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.022202,1784371364.171768,77,-2.9396832,-3.41827202,-9.99438667,0.450000018,609.80304,0.000107040112,0.000173349341,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.054201,1784371364.203767,78,-2.94065881,-3.41799212,-9.99504662,0.450000018,609.828003,8.0175625e-05,0.000328378141,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.054201,1784371364.203767,79,-2.93873525,-3.41633797,-9.99523544,0.450000018,609.853027,6.91184759e-05,0.000335942575,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.085203,1784371364.234768,80,-2.93823886,-3.41901731,-9.99581337,0.450000018,609.878052,-2.99334056e-06,0.000275933766,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.116631,1784371364.266196,81,-2.94018459,-3.42086077,-9.99640274,0.450000018,609.903015,-0.000157736329,0.000371864822,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.147222,1784371364.296787,82,-2.94190383,-3.42181492,-9.99675751,0.450000018,609.92804,-0.000338909536,0.000531056605,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.178421,1784371364.327987,83,-2.94212842,-3.42176676,-9.99723244,0.450000018,609.953003,-0.000498514564,0.000657384691,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.178421,1784371364.327987,84,-2.94385481,-3.42371607,-9.99716568,0.450000018,609.978027,-0.000532328326,0.000719007279,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.210414,1784371364.359980,85,-2.94327807,-3.42313957,-9.99746132,0.450000018,610.003052,-0.000527372235,0.00067547994,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.241640,1784371364.391205,86,-2.94255638,-3.42838717,-9.99786568,0.450000018,610.028015,-0.000578528154,0.000615993806,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
2.273654,1784371364.423219,87,-2.94028258,-3.43300343,-9.99831772,0.450000018,610.05304,-0.000802376366,0.000613595825,0.5,0.5,1,0.150000006,4.94999981,4.80999994,0,0,0,0,1
