name,type,start_time,duration
"ICM42688 SPI","enable",0.022594875,0.000000125
"ICM42688 SPI","disable",0.022607625,0.000000125
"ICM42688 SPI","enable",0.396550125,0.000000125
"ICM42688 SPI","disable",0.39655275,0.000000125
"ICM42688 SPI","enable",0.396553,0.000000125
"ICM42688 SPI","disable",0.396562875,0.000000125
"ICM42688 SPI","enable",0.770505375,0.000000125
"ICM42688 SPI","disable",0.770516,0.000000125
"ICM42688 SPI","enable",0.770516125,0.000000125
"ICM42688 SPI","disable",0.77051825,0.000000125
"ICM42688 SPI","enable",1.144460625,0.000000125
"ICM42688 SPI","disable",1.144473375,0.000000125
"ICM42688 SPI","enable",1.51841575,0.000000125
"ICM42688 SPI","disable",1.518428625,0.000000125
"ICM42688 SPI","enable",1.892371,0.000000125
"ICM42688 SPI","disable",1.892382625,0.000000125
"ICM42688 SPI","error",1.89238275,0.000001125
"ICM42688 SPI","enable",2.26632625,0.000000125
"ICM42688 SPI","disable",2.266339,0.000000125
"ICM42688 SPI","enable",2.6402815,0.000000125
"ICM42688 SPI","disable",2.64029425,0.000000125
"ICM42688 SPI","enable",3.014236875,0.000000125
"ICM42688 SPI","disable",3.014249625,0.000000125
"ICM42688 SPI","enable",3.388192,0.000000125
"ICM42688 SPI","disable",3.38820475,0.000000125
"ICM42688 SPI","enable",3.762147125,0.000000125
"ICM42688 SPI","disable",3.762159875,0.000000125
"ICM42688 SPI","enable",4.136102375,0.000000125
"ICM42688 SPI","disable",4.13611525,0.000000125
"ICM42688 SPI","enable",4.51005775,0.000000125
"ICM42688 SPI","disable",4.5100705,0.000000125
"ICM42688 SPI","enable",4.884012875,0.000000125
"ICM42688 SPI","disable",4.88402575,0.000000125
