Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,1,1
0.022594875,1,0,0,0,1
0.022595875,1,1,0,0,1
0.022597000,1,0,0,0,1
0.022598000,1,1,0,0,1
0.022599125,1,0,0,0,1
0.022600125,1,1,0,0,1
0.022601250,1,0,0,0,1
0.022602250,1,1,0,0,1
0.022603375,1,0,0,0,1
0.022604375,1,1,0,0,1
0.022605500,1,0,0,0,1
0.022606500,1,1,0,0,1
0.022607625,1,1,1,1,1
0.396550125,1,0,0,0,1
0.396551125,1,1,0,0,1
0.396552250,1,0,0,0,1
0.396552750,1,1,0,1,1
0.396553000,1,0,0,0,1
0.396553250,1,1,0,0,1
0.396554375,1,0,0,0,1
0.396555375,1,1,0,0,1
0.396556500,1,0,0,0,1
0.396557625,1,1,0,0,1
0.396558625,1,0,0,0,1
0.396559750,1,1,0,0,1
0.396560750,1,0,0,0,1
0.396561875,1,1,0,0,1
0.396562875,1,1,1,1,1
0.770505375,1,0,0,0,1
0.770506500,1,1,0,0,1
0.770507500,1,0,0,0,1
0.770508625,1,1,0,0,1
0.770509625,1,0,0,0,1
0.770510750,1,1,0,0,1
0.770511750,1,0,0,0,1
0.770512875,1,1,0,0,1
0.770513875,1,0,0,0,1
0.770515000,1,1,0,0,1
0.770516000,1,0,0,1,1
0.770516125,1,0,0,0,1
0.770517125,1,1,0,0,1
0.770518250,1,1,1,1,1
1.144460500,1,0,1,1,1
1.144460625,1,0,0,0,1
1.144461625,1,1,0,0,1
1.144462750,1,0,0,0,1
1.144463750,1,1,0,0,1
1.144464875,1,0,0,0,1
1.144465875,1,1,0,0,1
1.144467000,1,0,0,0,1
1.144468000,1,1,0,0,1
1.144469125,1,0,0,0,1
1.144470125,1,1,0,0,1
1.144471250,1,0,0,0,1
1.144472250,1,1,0,0,1
1.144473375,1,1,1,1,1
1.518415750,1,0,0,0,1
1.518416875,1,1,0,0,1
1.518417875,1,0,0,0,1
1.518419000,1,1,0,0,1
1.518420000,1,0,0,0,1
1.518421125,1,1,0,0,1
1.518422125,1,0,0,0,1
1.518423250,1,1,0,0,1
1.518424250,1,0,0,0,1
1.518425250,1,1,0,0,1
1.518426500,1,0,0,0,1
1.518427500,1,1,0,0,1
1.518428625,1,1,1,1,1
1.892371000,1,0,0,0,1
