Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,1,1
0.000256000,1,0,0,1,1
0.003759500,1,1,0,1,1
0.003759750,1,0,0,1,1
0.004134500,1,1,0,1,1
0.004134750,1,0,0,1,1
0.009366625,1,0,1,1,1
0.009370375,1,1,1,1,1
0.009372750,1,0,1,1,1
0.009374000,1,0,0,1,1
0.009633875,1,1,0,1,1
0.009634125,1,0,0,1,1
0.011104250,1,1,1,1,1
0.011719500,0,1,1,1,1
0.011719625,0,1,0,1,1
0.012006125,0,0,0,1,1
0.012006375,1,1,1,1,1
0.012625375,0,1,0,1,1
0.012908625,0,0,0,1,1
0.012908875,1,1,1,1,1
0.013226125,0,0,1,1,1
0.013510750,0,1,1,1,1
0.013811125,0,0,1,1,1
0.014413250,0,1,1,1,1
0.014713500,0,0,1,1,1
0.014885375,0,1,1,1,1
0.014885625,0,0,1,1,1
0.015315000,0,1,1,1,1
0.015615875,0,0,1,1,1
0.016217375,0,1,1,1,1
0.016518375,0,0,1,1,1
0.017119875,0,1,1,1,1
0.017420750,0,0,1,1,1
0.018021375,0,1,1,1,1
0.018322625,0,0,1,1,1
0.018634750,1,1,1,1,1
0.018951750,0,1,0,1,1
0.019236250,1,1,1,1,1
0.019852875,0,1,0,1,1
0.020138875,1,1,1,1,1
0.020753875,0,1,0,1,1
0.021040250,0,0,0,1,1
0.021040625,1,1,1,1,1
0.021659750,0,1,0,1,1
0.021943000,1,1,1,1,1
0.022560750,0,1,0,1,1
0.022845125,1,1,1,1,1
0.023462625,0,1,0,1,1
0.023747500,1,1,1,1,1
0.024367625,0,1,0,1,1
0.024649875,0,0,0,1,1
0.024650250,1,1,1,1,1
0.025268625,0,1,0,1,1
0.025552625,1,1,1,1,1
0.025865625,1,0,0,1,1
0.025882000,1,1,0,1,1
0.025882250,1,0,0,1,1
0.041255375,1,1,1,1,1
0.041255625,1,0,0,1,1
0.044380000,1,1,1,1,1
0.044380250,1,0,0,1,1
0.049504375,1,1,0,1,1
0.049504625,1,0,0,1,1
0.054882750,1,1,0,1,1
0.054882875,1,0,0,1,1
0.069357125,1,1,1,1,1
0.069357375,1,0,0,1,1
0.070879000,1,1,0,1,1
0.070879250,1,0,0,1,1
0.084489125,1,1,0,1,1
0.084489250,1,0,0,1,1
0.084577750,1,1,0,1,1
0.084577875,1,0,0,1,1
0.095356375,1,0,1,1,1
0.095359875,1,1,1,1,1
0.095362375,1,0,1,1,1
0.095363625,1,0,0,1,1
0.096874000,1,1,1,1,1
0.096874250,1,0,0,1,1
0.097093875,1,1,1,1,1
0.097711750,0,1,0,1,1
0.097995625,1,1,1,1,1
0.098622375,0,1,0,1,1
0.098909125,0,0,0,1,1
0.098909375,1,1,1,1,1
0.099227625,0,0,1,1,1
0.099511750,0,1,1,1,1
0.099812000,0,0,1,1,1
0.100414125,0,1,1,1,1
0.100714375,0,0,1,1,1
0.101248500,1,1,1,1,1
0.101248750,0,0,1,1,1
0.101315875,0,1,1,1,1
0.101616750,0,0,1,1,1
0.102218250,0,1,1,1,1
0.102519125,0,0,1,1,1
0.102877375,1,1,1,1,1
0.102877500,0,0,1,1,1
0.103120625,0,1,1,1,1
0.103421500,0,0,1,1,1
0.104022000,0,1,1,1,1
0.104323250,0,0,1,1,1
0.104624375,1,1,1,1,1
0.104940250,0,1,0,1,1
0.105225875,1,1,1,1,1
0.105841500,0,1,0,1,1
0.106128250,0,0,0,1,1
0.106128625,1,1,1,1,1
0.106747375,0,1,0,1,1
0.107029750,0,0,0,1,1
0.107030125,1,1,1,1,1
0.107648375,0,1,0,1,1
0.107932250,0,0,0,1,1
0.107932500,1,1,1,1,1
0.108549625,0,1,0,1,1
0.108834625,1,1,1,1,1
0.109451000,0,1,0,1,1
0.109737000,1,1,1,1,1
0.110352125,0,1,0,1,1
0.110639375,0,0,0,1,1
0.110639750,1,1,1,1,1
0.111253625,0,1,0,1,1
0.111541750,0,0,0,1,1
0.111541875,1,1,1,1,1
0.111858750,1,0,0,1,1
0.114874125,1,1,0,1,1
0.114874375,1,0,0,1,1
0.126245750,1,1,0,1,1
0.126246000,1,0,0,1,1
0.126875000,1,1,0,1,1
0.126875250,1,0,0,1,1
0.134369875,1,1,0,1,1
0.134370125,1,0,0,1,1
0.136744500,1,1,0,1,1
0.136744750,1,0,0,1,1
0.142493875,1,1,0,1,1
0.142494125,1,0,0,1,1
0.144493625,1,1,0,1,1
0.144493875,1,0,0,1,1
0.144868625,1,1,1,1,1
0.144868875,1,0,0,1,1
0.150243000,1,1,1,1,1
0.150243250,1,0,0,1,1
0.150618000,1,1,1,1,1
0.150618250,1,0,0,1,1
0.152617750,1,1,0,1,1
0.152618000,1,0,0,1,1
0.158367125,1,1,1,1,1
0.158367375,1,0,0,1,1
0.158873375,1,1,1,1,1
0.158873625,1,0,0,1,1
0.160741875,1,1,1,1,1
0.160742125,1,0,0,1,1
0.174240375,1,1,1,1,1
0.174240625,1,0,0,1,1
0.174615250,1,1,0,1,1
0.174615500,1,0,0,1,1
0.177952625,1,1,1,1,1
0.177952750,1,0,0,1,1
0.179614750,1,1,1,1,1
0.179615000,1,0,0,1,1
0.181345875,1,0,1,1,1
0.181349625,1,1,1,1,1
0.181352125,1,0,1,1,1
0.181353375,1,0,0,1,1
0.181614500,1,1,0,1,1
0.181614750,1,0,0,1,1
0.181989500,1,1,1,1,1
0.181989750,1,0,0,1,1
0.182364375,1,1,0,1,1
0.182364625,1,0,0,1,1
0.183083500,1,1,1,1,1
0.183699750,0,1,0,1,1
0.183985250,1,1,1,1,1
0.184601000,0,1,0,1,1
0.184887750,0,0,0,1,1
0.184888125,1,1,1,1,1
0.185206500,0,0,1,1,1
0.185490000,0,1,1,1,1
0.185790250,0,0,1,1,1
0.186392375,0,1,1,1,1
0.186692625,0,0,1,1,1
0.186866000,1,1,1,1,1
0.186866125,0,0,1,1,1
0.187294250,0,1,1,1,1
0.187595125,0,0,1,1,1
0.187738750,1,1,1,1,1
0.187739000,0,0,1,1,1
0.188196500,0,1,1,1,1
0.188497500,0,0,1,1,1
0.189099000,0,1,1,1,1
0.189399875,0,0,1,1,1
0.189738625,1,1,1,1,1
0.189738875,0,0,1,1,1
0.190000375,0,1,1,1,1
0.190301625,0,0,1,1,1
0.190602750,1,1,1,1,1
0.190918750,0,1,0,1,1
0.191204125,1,1,1,1,1
0.191820000,0,1,0,1,1
0.192106500,0,0,0,1,1
0.192106875,0,1,0,1,1
0.192107000,1,1,1,1,1
0.192721250,0,1,0,1,1
0.193008000,0,0,0,1,1
0.193008375,1,1,1,1,1
0.193622500,0,1,0,1,1
0.193910750,1,1,1,1,1
0.194524000,0,1,0,1,1
0.194812875,1,1,1,1,1
0.195429625,0,1,0,1,1
0.195715375,1,1,1,1,1
0.196332000,0,1,0,1,1
0.196617750,0,0,0,1,1
0.196618125,1,1,1,1,1
0.197236500,0,1,0,1,1
0.197520250,0,0,0,1,1
0.197520500,1,1,1,1,1
0.197834500,1,0,0,1,1
0.200862375,1,1,1,1,1
0.200862625,1,0,0,1,1
0.203237000,1,1,1,1,1
0.203237250,1,0,0,1,1
0.205611750,1,1,1,1,1
0.205612000,1,0,0,1,1
0.205986750,1,1,1,1,1
0.205987000,1,0,0,1,1
0.210986125,1,1,0,1,1
0.210986375,1,0,0,1,1
0.219485250,1,1,0,1,1
0.219485500,1,0,0,1,1
0.223984750,1,1,0,1,1
0.223985000,1,0,0,1,1
0.224660750,1,1,1,1,1
0.224660875,1,0,0,1,1
0.224726500,1,1,1,1,1
0.224726750,1,0,0,1,1
0.227609250,1,1,0,1,1
0.227609500,1,0,0,1,1
0.240495000,1,1,1,1,1
0.240495250,1,0,0,1,1
0.253481375,1,1,0,1,1
0.253481625,1,0,0,1,1
0.261230500,1,1,1,1,1
0.261230750,1,0,0,1,1
0.261605500,1,1,1,1,1
0.261605750,1,0,0,1,1
0.267335500,1,0,1,1,1
0.267339125,1,1,1,1,1
0.267341625,1,0,1,1,1
0.267342875,1,0,0,1,1
0.269073125,1,1,1,1,1
0.269689500,0,1,0,1,1
0.269729500,1,1,1,1,1
0.269729750,0,1,0,1,1
0.269974875,1,1,1,1,1
0.270590875,0,1,0,1,1
0.270860875,1,1,0,1,1
0.270861000,0,1,0,1,1
0.270877375,0,0,0,1,1
0.270877750,1,1,1,1,1
0.271191625,0,0,1,1,1
0.271479625,0,1,1,1,1
0.271779875,0,0,1,1,1
0.272381875,0,1,1,1,1
0.272682125,0,0,1,1,1
0.273283625,0,1,1,1,1
0.273584500,0,0,1,1,1
0.274186000,0,1,1,1,1
0.274486875,0,0,1,1,1
0.275088500,0,1,1,1,1
0.275389375,0,0,1,1,1
0.275989875,0,1,1,1,1
0.276291125,0,0,1,1,1
0.276592250,1,1,1,1,1
0.276908625,0,1,0,1,1
0.277193625,1,1,1,1,1
0.277810000,0,1,0,1,1
0.278096125,1,1,1,1,1
0.278725250,0,1,0,1,1
0.278728500,1,1,1,1,1
0.278728750,0,1,0,1,1
0.279008500,1,1,1,1,1
0.279626500,0,1,0,1,1
0.279911375,1,1,1,1,1
0.280527750,0,1,0,1,1
0.280813750,1,1,1,1,1
0.281429000,0,1,0,1,1
0.281716125,0,0,0,1,1
0.281716500,1,1,1,1,1
0.282334875,0,1,0,1,1
0.282478125,1,1,1,1,1
0.282478375,0,1,0,1,1
0.282618625,0,0,0,1,1
0.282618750,1,1,1,1,1
0.283236125,0,1,0,1,1
0.283521125,1,1,1,1,1
0.283837000,1,0,0,1,1
0.287665000,1,1,0,1,1
0.287665250,1,0,0,1,1
0.302852875,1,1,0,1,1
0.302853000,1,0,0,1,1
0.314853500,1,1,1,1,1
0.314853750,1,0,0,1,1
0.319790875,1,1,1,1,1
0.319791000,1,0,0,1,1
0.319973875,1,1,0,1,1
0.319974125,1,0,0,1,1
0.320348875,1,1,0,1,1
0.320349125,1,0,0,1,1
0.322723625,1,1,1,1,1
0.322723875,1,0,0,1,1
0.330472750,1,1,0,1,1
0.330473000,1,0,0,1,1
0.330847625,1,1,1,1,1
0.330847875,1,0,0,1,1
0.330853500,1,1,0,1,1
0.330853625,1,0,0,1,1
0.335264125,1,1,0,1,1
0.335264250,1,0,0,1,1
0.338596750,1,1,1,1,1
0.338597000,1,0,0,1,1
0.343971125,1,1,0,1,1
0.343971375,1,0,0,1,1
0.346345875,1,1,0,1,1
0.346346125,1,0,0,1,1
0.346847875,1,1,1,1,1
0.346848125,1,0,0,1,1
0.351082500,1,1,0,1,1
0.351082750,1,0,0,1,1
0.352095250,1,1,1,1,1
0.352095500,1,0,0,1,1
0.353325125,1,0,1,1,1
0.353328875,1,1,1,1,1
0.353331375,1,0,1,1,1
0.353332625,1,0,0,1,1
0.355062625,1,1,1,1,1
0.355683250,0,1,0,1,1
0.355964500,0,0,0,1,1
0.355964625,1,1,1,1,1
0.356584375,0,1,0,1,1
0.356867000,0,0,0,1,1
0.356867375,1,1,1,1,1
0.357185125,0,0,1,1,1
0.357469250,0,1,1,1,1
0.357769500,0,0,1,1,1
0.358382750,0,1,1,1,1
0.358683000,0,0,1,1,1
0.359284875,0,1,1,1,1
0.359586000,0,0,1,1,1
0.359844375,0,1,1,1,1
0.359844625,0,0,1,1,1
0.360187375,0,1,1,1,1
0.360488250,0,0,1,1,1
0.361089875,0,1,1,1,1
0.361390750,0,0,1,1,1
0.361991250,0,1,1,1,1
0.362292500,0,0,1,1,1
0.362593625,1,1,1,1,1
0.362906875,0,1,0,1,1
0.363195125,0,0,0,1,1
0.363195375,1,1,1,1,1
0.363812750,0,1,0,1,1
0.364097625,1,1,1,1,1
0.364714000,0,1,0,1,1
0.364999125,1,1,1,1,1
0.365619875,0,1,0,1,1
0.365901500,0,0,0,1,1
