"host_time_s","stage","timestamp_us","sequence","raw_temperature","raw_accel_x","raw_accel_y","raw_accel_z","raw_gyro_x","raw_gyro_y","raw_gyro_z","temperature_c","accel_x_g","accel_y_g","accel_z_g","gyro_x_dps","gyro_y_dps","gyro_z_dps","roll_deg","pitch_deg","yaw_deg","roll_acc_deg","pitch_acc_deg","roll_gyro_deg","pitch_gyro_deg","roll_residual_deg","pitch_residual_deg","accel_norm_g","accel_residual_deg","dt_ms","gyro_bias_ready","imu_data_ready_count","imu_poll_ready_count"
"0.4110015","baseline","1050581213","1039003","398","4","8139","-146","-17","-5","3","28.10938","0.0143888","0.0004578565","0.9945727","-0.02289345","0.04893198","0.06715647","0.340145","1.92827","36.3103","0.02637639","0.8657972","0.2842403","2.784363","-0.2578639","-1.918566","0.9946864","1.935817","1.009","1","1039004","0"
"0.4158916","baseline","1050586255","1039008","398","49","8156","-104","-13","-7","4","28.10938","0.01476738","-0.001474847","0.9936927","-0.0530896","0.005676615","-0.00602011","0.3403233","1.928394","36.31039","-0.1117394","0.8559129","0.2844643","2.784486","-0.3962037","-1.928573","0.9937991","1.96885","1.009","1","1039009","0"
"0.4206414","baseline","1050591297","1039013","406","41","8132","-140","-11","-11","0","28.17188","0.01565485","-0.001922092","0.992099","0.01118218","-0.03730696","-0.05360021","0.3404391","1.928334","36.31033","-0.1110047","0.9040232","0.2845123","2.784418","-0.4281371","-1.885697","0.9928385","1.933689","1.009","1","1039014","0"
"0.4253581","baseline","1050596339","1039018","396","-10","8157","-149","-19","-9","1","28.09375","0.01473808","-0.000275985","0.9946704","0.02467725","0.1021394","0.0003159957","0.3403599","1.928647","36.31028","-0.0158975","0.8488924","0.2844552","2.784739","-0.3003527","-1.935847","0.9948742","1.941671","1.009","1","1039019","0"
"0.4304103","baseline","1050601381","1039023","384","7","8163","-87","-9","-5","2","28","0.01343049","0.0005685411","0.9956247","0.01875657","-0.1464176","0.004237756","0.3402683","1.928538","36.31015","0.03271816","0.7728453","0.2843637","2.784631","-0.2516455","-1.983691","0.9954866","2.005627","1.008","1","1039024","0"
"0.435629","baseline","1050606423","1039028","396","7","8159","-104","-17","-12","4","28.09375","0.01429582","-0.000202432","0.9943975","-0.009975672","0.0404323","-0.06802186","0.3402","1.928448","36.31017","-0.01166385","0.8236482","0.284329","2.784636","-0.3376378","-1.964616","0.9946914","1.993418","1.008","1","1039029","0"
"0.4409687","baseline","1050611465","1039033","410","13","8121","-129","-9","-10","2","28.20313","0.01491524","-0.002115109","0.9923085","0.005962097","-0.0128325","-0.01493966","0.3402432","1.928735","36.31013","-0.1339863","0.8716466","0.2843385","2.784827","-0.4183248","-1.913181","0.992949","1.958381","1.008","1","1039034","0"
"0.4460732","baseline","1050616507","1039038","388","-12","8164","-113","-13","-9","1","28.125","0.0149238","-0.0006028218","0.9950796","0.03179668","0.01130085","0.001065054","0.340167","1.928739","36.31019","-0.03470993","0.859234","0.2842623","2.784832","-0.3189722","-1.925598","0.9951918","1.951838","1.008","1","1039039","0"
"0.451214","baseline","1050621549","1039043","392","-15","8165","-94","-13","-8","2","28.0625","0.01418519","0.0002590562","0.9957278","8.431589E-05","-0.04201153","0.01563919","0.3401176","1.928884","36.31009","0.009200254","0.8081585","0.2842129","2.784977","-0.2750126","-1.976819","0.9958269","1.995857","1.008","1","1039044","0"
"0.4563372","baseline","1050626590","1039048","392","14","8125","-76","-17","-11","3","28.14063","0.01315656","-0.001238906","0.9939309","-0.03273369","0.02939372","-0.014396","0.3403504","1.928871","36.31015","-0.07141748","0.7583734","0.2844457","2.784964","-0.3558632","-2.02659","0.9940187","2.057597","1.009","1","1039049","0"
"0.4614153","baseline","1050631632","1039053","398","17","8101","-115","-12","-10","1","28.10938","0.01388347","-0.002309448","0.9928173","0.004194792","0.01511077","0.005356379","0.3403804","1.928938","36.31017","-0.1434952","0.8186197","0.2844757","2.785031","-0.4279709","-1.966411","0.9924346","2.012444","1.009","1","1039054","0"
"0.4661581","baseline","1050636673","1039058","404","-48","8157","-103","-9","-5","1","28.15625","0.01385795","-0.0009538066","0.9945185","0.003674214","-0.005633678","0.05425719","0.3404098","1.929169","36.31031","-0.009426505","0.8110306","0.2845053","2.785243","-0.2939318","-1.974213","0.9947325","1.995974","1.009","1","1039059","0"
"0.4710224","baseline","1050641715","1039063","410","-24","8156","-72","-9","-14","1","28.20313","0.01398744","9.454769E-05","0.9951911","-0.003916198","-0.03787776","-0.05354103","0.3404869","1.929179","36.31052","0.03020567","0.7586262","0.2845815","2.785272","-0.2543758","-2.026646","0.9956347","2.042547","1.009","1","1039064","0"
"0.4763505","baseline","1050646756","1039068","406","18","8120","-114","-14","-13","1","28.1875","0.01379823","-0.0007691692","0.9943206","0.01711858","-0.06178287","-0.04126206","0.3404539","1.928744","36.31057","-0.04432186","0.7950449","0.2845492","2.784837","-0.3288711","-1.989792","0.9944167","2.016786","1.008","1","1039069","0"
"0.4826679","baseline","1050652806","1039074","400","-7","8111","-117","-17","-10","4","28.01563","0.01378456","-0.001695946","0.992933","-0.0125889","0.1119139","0.004456354","0.3403881","1.928958","36.31074","-0.09786208","0.7953658","0.2844834","2.78505","-0.3823454","-1.989685","0.9930301","2.026088","1.008","1","1039075","0"
"0.487646","baseline","1050657848","1039079","380","-14","8159","-95","-14","-8","0","27.96875","0.01256586","-0.000917703","0.9946965","0.04048718","-0.003162749","0.008729432","0.3403886","1.929073","36.31069","-0.05286084","0.7372179","0.2844839","2.785166","-0.3373447","-2.047948","0.9947793","2.075547","1.008","1","1039080","0"
"0.4924437","baseline","1050663899","1039085","406","-14","8174","-87","-11","-5","4","28.17188","0.01287043","0.0003332102","0.9959145","-0.01566715","-0.07688841","-0.01026495","0.3403147","1.928854","36.31057","0.01916986","0.7404053","0.2844101","2.784947","-0.2652402","-2.044541","0.9961039","2.060635","1.008","1","1039086","0"
"0.4979918","baseline","1050668940","1039090","388","14","8126","-95","-17","-9","3","28.03125","0.01346803","-0.0007797675","0.9937543","-0.03506446","0.05414995","0.01758006","0.3405385","1.928712","36.31072","-0.04495818","0.7764634","0.2846338","2.784805","-0.329592","-2.008341","0.9938458","2.035206","1.008","1","1039091","0"
"0.503788","baseline","1050673982","1039095","392","10","8107","-117","-19","-9","2","28.0625","0.01426698","-0.002290485","0.9923428","0.01340842","0.06769734","-0.02696694","0.3404403","1.928837","36.31086","-0.1322476","0.8236867","0.2845356","2.78493","-0.4167832","-1.961243","0.992448","2.005039","1.008","1","1039096","0"
"0.5096836","baseline","1050680032","1039101","386","-14","8152","-116","-12","-8","4","28.125","0.01384441","-0.001036498","0.9948952","-0.03265876","-0.02763915","0.01270273","0.3404774","1.928934","36.3108","-0.05969165","0.7972442","0.2845728","2.785027","-0.3442644","-1.987783","0.994992","2.017374","1.008","1","1039102","0"
"0.5150458","baseline","1050685074","1039106","394","9","8157","-122","-12","-10","1","28.15625","0.01336322","-0.0009935675","0.9954774","-0.008878114","0.02495477","-0.07428629","0.3406482","1.929198","36.31054","-0.05718583","0.7690878","0.2847435","2.785291","-0.3419294","-2.016203","0.9955676","2.044991","1.009","1","1039108","0"
"0.5198305","baseline","1050690116","1039111","392","0","8139","-83","-13","-13","0","28.0625","0.01361436","-0.0005768477","0.9934024","0.02886509","-0.02416268","-0.06377572","0.3405566","1.929265","36.31038","-0.06704973","0.7630755","0.2846519","2.785358","-0.3517016","-2.022283","0.9938793","2.052638","1.008","1","1039112","0"
"0.5244042","baseline","1050694149","1039116","400","21","8107","-111","-15","-7","4","28.125","0.01414692","-0.002811288","0.992327","-0.02597148","-0.0002862215","0.02254703","0.3405757","1.929186","36.31041","-0.16232","0.8167677","0.284671","2.785279","-0.446991","-1.968511","0.9924318","2.015594","1.008","1","1039117","0"
