host_time_s,stage,timestamp_us,sequence,raw_temperature,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,temperature_c,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,roll_acc_deg,pitch_acc_deg,roll_gyro_deg,pitch_gyro_deg,roll_residual_deg,pitch_residual_deg,accel_norm_g,accel_residual_deg,dt_ms,gyro_bias_ready,imu_data_ready_count,imu_poll_ready_count,fusion_acceleration_error_deg,fusion_acceleration_recovery_trigger,fusion_accel_correction_count,fusion_accelerometer_ignored,fusion_acceleration_recovery,fusion_angular_rate_recovery,fusion_accel_norm_rejected
1.2999953469261527e-06,baseline,2221365219,2200100,392,22,8149,-125,-13,-9,1,28.0625,0.013106660917401314,-0.0019750057253986597,0.9938973784446716,0.009011650457978249,-0.024146489799022675,-0.025908617302775383,-0.1801193803548813,0.10003054141998291,18.225309371948242,-0.11385415494441986,0.7555220127105713,-0.11032398045063019,0.7484138011932373,-0.014461494982242584,0.0178147554397583,0.9940853118896484,0.022945595905184746,1.0080000162124634,1,2200101,0,0.023226719349622726,0.0,2110926,0,0,0,0
0.010430900001665577,baseline,2221375302,2200111,406,24,8143,-113,-15,-9,4,28.171875,0.013600729405879974,-0.0023669349029660225,0.9942918419837952,-0.0236150324344635,0.031827595084905624,0.0077777886763215065,-0.18002134561538696,0.10009157657623291,18.225444793701172,-0.1363936960697174,0.7836869955062866,-0.11022593826055527,0.7484748363494873,-0.02616775780916214,0.035212159156799316,0.994387686252594,0.028780311346054077,1.0080000162124634,1,2200112,0,0.029095184057950974,0.0,2110937,0,0,0,0
0.020513399998890236,baseline,2221385386,2200120,396,18,8142,-91,-13,-11,3,28.09375,0.01345890760421753,-0.0019266200251877308,0.993893027305603,-0.013805968686938286,-0.009247677400708199,-0.057970888912677765,-0.17997372150421143,0.10027331113815308,18.225339889526367,-0.11799027770757675,0.7598313093185425,-0.11016702651977539,0.7486486434936523,-0.007823251187801361,0.011182665824890137,0.9940992593765259,0.013647537678480148,1.0089999437332153,1,2200121,0,0.013942957855761051,0.0,2110946,0,0,0,0
0.030469000004814006,baseline,2221395470,2200130,404,14,8134,-112,-15,-11,2,28.15625,0.013453606516122818,-0.002138040727004409,0.9937982559204102,-0.007088883779942989,-0.018759824335575104,-0.04325360059738159,-0.18001723289489746,0.09964817762374878,18.225080490112305,-0.12267885357141495,0.7574328780174255,-0.11022739857435226,0.7480367422103882,-0.012451454997062683,0.009396135807037354,0.9939804673194885,0.01559891365468502,1.0089999437332153,1,2200131,0,0.0158376544713974,0.0,2110956,0,0,0,0
0.04050149999966379,baseline,2221405554,2200140,404,10,8137,-137,-14,-8,3,28.15625,0.014476015232503414,-0.0017694877460598946,0.9941179156303406,-0.02849963679909706,-0.025554234161973,0.006384045816957951,-0.1798943281173706,0.09936988353729248,18.22508430480957,-0.09475957602262497,0.8405098915100098,-0.11006523668766022,0.7477547526359558,0.015305660665035248,0.09275513887405396,0.9939781427383423,0.09400945901870728,1.0089999437332153,1,2200141,0,0.09443619102239609,0.0,2110966,0,0,0,0
0.05052119999891147,baseline,2221415638,2200150,392,10,8138,-115,-12,-10,1,28.0625,0.014777726493775845,-0.00157444819342345,0.9933061599731445,0.010177326388657093,-0.05042877048254013,-0.05562970042228699,-0.1796964704990387,0.09912002086639404,18.224822998046875,-0.09426510334014893,0.8286879658699036,-0.10987329483032227,0.7475029826164246,0.01560819149017334,0.081184983253479,0.9935824871063232,0.08267174661159515,1.0089999437332153,1,2200151,0,0.08308745920658112,0.0,2110976,0,0,0,0
0.060517699996125884,baseline,2221425722,2200160,396,21,8144,-105,-15,-10,2,28.09375,0.013498038053512573,-0.001928455545566976,0.9936380386352539,-0.01110921986401081,0.011745573952794075,-0.04510710760951042,-0.17935647070407867,0.09912383556365967,18.22451400756836,-0.11588820815086365,0.7787392735481262,-0.10956098884344101,0.7475541830062866,-0.006327219307422638,0.0311850905418396,0.9937534928321838,0.03182049095630646,1.0089999437332153,1,2200161,0,0.03224368393421173,0.0,2110986,0,0,0,0
0.07018379999499302,baseline,2221434798,2200169,404,22,8146,-122,-11,-8,5,28.125,0.014258245937526226,-0.0022560516372323036,0.9944537878036499,-0.0393892303109169,-0.0650249794125557,-0.008694137446582317,-0.17928221821784973,0.09928375482559204,18.224300384521484,-0.12998293340206146,0.8214350938796997,-0.10948681086301804,0.7476670145988464,-0.020496122539043427,0.07376807928085327,0.994558572769165,0.07656253129243851,1.0080000162124634,1,2200170,0,0.07692701369524002,0.0,2110996,0,0,0,0
0.08039170000120066,baseline,2221444882,2200179,400,17,8146,-118,-15,-9,2,28.03125,0.014232488349080086,-0.0018645597156137228,0.9941489696502686,-0.009667393751442432,0.04170265421271324,-0.019582705572247505,-0.17913667857646942,0.09940910339355469,18.224185943603516,-0.10746002942323685,0.820203423500061,-0.10934127867221832,0.7477923631668091,0.0018812492489814758,0.07241106033325195,0.9942525625228882,0.07243549078702927,1.0080000162124634,1,2200181,0,0.06217563524842262,0.0,2111006,0,0,0,0
0.0904828000057023,baseline,2221454966,2200189,388,21,8149,-102,-13,-10,2,28.21875,0.013428416103124619,-0.0017562888097018003,0.9942474961280823,-0.013989749364554882,-0.03210398554801941,-0.0360935814678669,-0.1789926439523697,0.09953057765960693,18.223901748657227,-0.10121004283428192,0.7737948298454285,-0.10919724404811859,0.7479138374328613,0.00798720121383667,0.02588099241256714,0.9943397045135498,0.02708544209599495,1.0080000162124634,1,2200191,0,0.04122872278094292,0.0,2111016,0,0,0,0
