Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,1,1
0.279095625,1,1,1,0,1
0.279096000,1,1,0,0,1
0.279099000,1,0,0,0,1
0.279103750,1,1,0,0,1
0.279104375,1,1,1,1,1
0.279105000,1,1,0,0,1
0.279108375,1,0,0,0,1
0.279113250,1,1,1,1,1
0.279114500,1,1,0,0,1
0.279117750,1,0,0,0,1
0.279122625,1,1,1,1,1
0.279123875,1,1,0,0,1
0.279127125,1,0,0,0,1
0.279131875,1,1,0,0,1
0.279132000,1,1,1,1,1
0.279133250,1,1,0,0,1
0.279136500,1,0,0,0,1
0.279141375,1,1,1,1,1
0.279142625,1,1,0,0,1
0.279146000,1,0,0,0,1
0.279149375,1,1,1,1,1
0.653050500,1,1,1,0,1
0.653050625,1,1,0,0,1
0.653053875,1,0,0,0,1
0.653060000,1,1,0,0,1
0.653063250,1,0,0,0,1
0.653069375,1,1,0,0,1
0.653072625,1,0,0,0,1
0.653078750,1,1,0,0,1
0.653082125,1,0,0,0,1
0.653085875,1,1,1,1,1
0.653088125,1,1,0,0,1
0.653091500,1,0,0,0,1
0.653095375,1,1,1,1,1
0.653097500,1,1,1,0,1
0.653097625,1,1,0,0,1
0.653100875,1,0,0,0,1
0.653104250,1,1,1,1,1
1.027005750,1,1,0,0,1
1.027008750,1,0,0,0,1
1.027014250,1,1,0,0,1
1.027018125,1,0,0,0,1
1.027022875,1,1,1,1,1
1.027024250,1,1,0,0,1
1.027027625,1,0,0,0,1
1.027032250,1,1,0,0,1
1.027032750,1,1,1,1,1
1.027033625,1,1,0,0,1
1.027037000,1,0,0,0,1
1.027041625,1,1,1,1,1
1.027043125,1,1,0,0,1
1.027046375,1,0,0,0,1
1.027051000,1,1,1,1,1
1.027052500,1,1,0,0,1
1.027055750,1,0,0,0,1
1.027059125,1,1,1,1,1
1.400960250,1,1,0,0,1
1.400963625,1,0,0,0,1
1.400969625,1,1,0,0,1
1.400973000,1,0,0,0,1
1.400976750,1,1,0,0,1
1.400982375,1,0,0,0,1
1.400986250,1,1,0,0,1
1.400991750,1,0,0,0,1
1.400997875,1,1,0,0,1
1.401001125,1,0,0,0,1
1.401005000,1,1,1,1,1
1.401007250,1,1,0,0,1
1.401010625,1,0,0,0,1
1.401014000,1,1,1,1,1
1.774915250,1,1,0,0,1
1.774918500,1,0,0,0,1
1.774923500,1,1,0,0,1
1.774927875,1,0,0,0,1
1.774933000,1,1,1,1,1
1.774934000,1,1,0,0,1
1.774937375,1,0,0,0,1
1.774941750,1,1,0,0,1
1.774942125,1,1,1,1,1
1.774943375,1,1,0,0,1
