host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826284.851593,5,0,0,pitch,step,1442,1851,-10.476,2.799,-57.4,3.42,1,1394,IDENT sample id=5 seq=0 t_ms=0 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-10.476 pitch=2.799 gx=-57.40 gy=3.42 rc_arm=1 throttle_us=1394
1779826284.960934,5,2,40,pitch,step,1442,1851,-7.717,2.63,-80.17,-23.97,1,1394,IDENT sample id=5 seq=2 t_ms=40 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-7.717 pitch=2.630 gx=-80.17 gy=-23.97 rc_arm=1 throttle_us=1394
1779826285.067960,5,6,120,pitch,step,1442,1851,-0.22,-0.855,-70.16,-83.89,1,1394,IDENT sample id=5 seq=6 t_ms=120 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.220 pitch=-0.855 gx=-70.16 gy=-83.89 rc_arm=1 throttle_us=1394
1779826285.075111,5,9,180,pitch,step,1442,1851,4.076,-6.118,-27.66,-97.04,1,1394,IDENT sample id=5 seq=9 t_ms=180 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=4.076 pitch=-6.118 gx=-27.66 gy=-97.04 rc_arm=1 throttle_us=1394
1779826285.194294,5,11,220,pitch,step,1442,1851,5.436,-9.511,4.76,-92.67,1,1394,IDENT sample id=5 seq=11 t_ms=220 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=5.436 pitch=-9.511 gx=4.76 gy=-92.67 rc_arm=1 throttle_us=1394
1779826285.200902,5,15,300,pitch,step,1442,1851,4.105,-13.901,62.95,-53.73,1,1394,IDENT sample id=5 seq=15 t_ms=300 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=4.105 pitch=-13.901 gx=62.95 gy=-53.73 rc_arm=1 throttle_us=1394
1779826285.322773,5,19,380,pitch,step,1442,1851,-1.324,-15.248,80.94,2.33,1,1394,IDENT sample id=5 seq=19 t_ms=380 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.324 pitch=-15.248 gx=80.94 gy=2.33 rc_arm=1 throttle_us=1394
1779826285.328784,5,21,420,pitch,step,1442,1851,-4.352,-14.285,72.64,36.97,1,1394,IDENT sample id=5 seq=21 t_ms=420 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-4.352 pitch=-14.285 gx=72.64 gy=36.97 rc_arm=1 throttle_us=1394
1779826285.446470,5,24,480,pitch,step,1442,1851,-7.934,-11.305,50.16,62.88,1,1396,IDENT sample id=5 seq=24 t_ms=480 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-7.934 pitch=-11.305 gx=50.16 gy=62.88 rc_arm=1 throttle_us=1396
1779826285.452282,5,26,520,pitch,step,1442,1851,-9.555,-8.603,39.86,74.84,1,1394,IDENT sample id=5 seq=26 t_ms=520 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-9.555 pitch=-8.603 gx=39.86 gy=74.84 rc_arm=1 throttle_us=1394
1779826285.460963,5,28,560,pitch,step,1442,1851,-10.72,-5.661,31.69,77.96,1,1394,IDENT sample id=5 seq=28 t_ms=560 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-10.720 pitch=-5.661 gx=31.69 gy=77.96 rc_arm=1 throttle_us=1394
