host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826315.623051,6,0,0,pitch,step,1442,1851,-4.486,-4.018,63.11,7.55,1,1347,IDENT sample id=6 seq=0 t_ms=0 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-4.486 pitch=-4.018 gx=63.11 gy=7.55 rc_arm=1 throttle_us=1347
1779826315.629049,6,2,40,pitch,step,1442,1851,-7.125,-1.803,33.57,34.43,1,1344,IDENT sample id=6 seq=2 t_ms=40 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-7.125 pitch=-1.803 gx=33.57 gy=34.43 rc_arm=1 throttle_us=1344
1779826315.636972,6,4,80,pitch,step,1442,1851,-8.278,-0.797,0.77,37.78,1,1347,IDENT sample id=6 seq=4 t_ms=80 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-8.278 pitch=-0.797 gx=0.77 gy=37.78 rc_arm=1 throttle_us=1347
1779826315.757382,6,6,120,pitch,step,1442,1851,-8.314,0.298,-27.24,26.51,1,1344,IDENT sample id=6 seq=6 t_ms=120 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-8.314 pitch=0.298 gx=-27.24 gy=26.51 rc_arm=1 throttle_us=1344
1779826315.764434,6,9,180,pitch,step,1442,1851,-5.846,1.72,-61.05,22.71,1,1347,IDENT sample id=6 seq=9 t_ms=180 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-5.846 pitch=1.720 gx=-61.05 gy=22.71 rc_arm=1 throttle_us=1347
1779826315.882466,6,11,220,pitch,step,1442,1851,-3.076,2.312,-67.48,9.64,1,1347,IDENT sample id=6 seq=11 t_ms=220 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-3.076 pitch=2.312 gx=-67.48 gy=9.64 rc_arm=1 throttle_us=1347
1779826315.889008,6,14,280,pitch,step,1442,1851,1.372,2.562,-52.61,6.09,1,1347,IDENT sample id=6 seq=14 t_ms=280 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=1.372 pitch=2.562 gx=-52.61 gy=6.09 rc_arm=1 throttle_us=1347
1779826316.113887,6,25,500,pitch,step,1442,1851,1.71,-1.426,9.08,-61.27,1,1347,IDENT sample id=6 seq=25 t_ms=500 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=1.710 pitch=-1.426 gx=9.08 gy=-61.27 rc_arm=1 throttle_us=1347
1779826316.120001,6,27,540,pitch,step,1442,1851,0.934,-3.644,-9.09,-56.35,1,1347,IDENT sample id=6 seq=27 t_ms=540 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.934 pitch=-3.644 gx=-9.09 gy=-56.35 rc_arm=1 throttle_us=1347
1779826316.240309,6,29,580,pitch,step,1442,1851,1.098,-5.533,-24.04,-44.33,1,1347,IDENT sample id=6 seq=29 t_ms=580 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=1.098 pitch=-5.533 gx=-24.04 gy=-44.33 rc_arm=1 throttle_us=1347
1779826316.245816,6,31,620,pitch,step,1442,1851,1.906,-6.722,-25.51,-18.95,1,1347,IDENT sample id=6 seq=31 t_ms=620 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=1.906 pitch=-6.722 gx=-25.51 gy=-18.95 rc_arm=1 throttle_us=1347
1779826316.255200,6,33,660,pitch,step,1442,1851,2.688,-7.142,-8.96,-5.1,1,1347,IDENT sample id=6 seq=33 t_ms=660 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=2.688 pitch=-7.142 gx=-8.96 gy=-5.10 rc_arm=1 throttle_us=1347
1779826316.378941,6,38,760,pitch,step,1442,1851,0.97,-5.683,44.62,-14.63,1,1344,IDENT sample id=6 seq=38 t_ms=760 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.970 pitch=-5.683 gx=44.62 gy=-14.63 rc_arm=1 throttle_us=1344
