host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779808042.250515,1,0,0,roll,step,1412,1871,-0.834,0.69,2.78,0.96,1,1100,IDENT sample id=1 seq=0 t_ms=0 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=-0.834 pitch=0.690 gx=2.78 gy=0.96 rc_arm=1 throttle_us=1100
1779808042.291381,1,2,40,roll,step,1412,1871,-0.533,0.682,-19.76,1.38,1,1100,IDENT sample id=1 seq=2 t_ms=40 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=-0.533 pitch=0.682 gx=-19.76 gy=1.38 rc_arm=1 throttle_us=1100
1779808042.419819,1,6,120,roll,step,1412,1871,1.318,0.562,-32.72,1.35,1,1100,IDENT sample id=1 seq=6 t_ms=120 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=1.318 pitch=0.562 gx=-32.72 gy=1.35 rc_arm=1 throttle_us=1100
1779808042.647328,1,16,320,roll,step,1412,1871,2.57,0.457,12.57,2.68,1,1100,IDENT sample id=1 seq=16 t_ms=320 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=2.570 pitch=0.457 gx=12.57 gy=2.68 rc_arm=1 throttle_us=1100
1779808042.660717,1,18,360,roll,step,1412,1871,1.75,0.493,11.33,2.09,1,1100,IDENT sample id=1 seq=18 t_ms=360 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=1.750 pitch=0.493 gx=11.33 gy=2.09 rc_arm=1 throttle_us=1100
1779808042.682677,1,20,400,roll,step,1412,1871,0.975,0.529,5.5,1.72,1,1100,IDENT sample id=1 seq=20 t_ms=400 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=0.975 pitch=0.529 gx=5.50 gy=1.72 rc_arm=1 throttle_us=1100
1779808042.698289,1,22,440,roll,step,1412,1871,0.455,0.563,-3.63,1.44,1,1100,IDENT sample id=1 seq=22 t_ms=440 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=0.455 pitch=0.563 gx=-3.63 gy=1.44 rc_arm=1 throttle_us=1100
1779808042.823917,1,24,480,roll,step,1412,1871,0.316,0.588,-13.35,1.4,1,1100,IDENT sample id=1 seq=24 t_ms=480 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=0.316 pitch=0.588 gx=-13.35 gy=1.40 rc_arm=1 throttle_us=1100
1779808042.840612,1,26,520,roll,step,1412,1871,0.596,0.593,-22.02,1.3,1,1100,IDENT sample id=1 seq=26 t_ms=520 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=0.596 pitch=0.593 gx=-22.02 gy=1.30 rc_arm=1 throttle_us=1100
1779808042.962630,1,36,720,roll,step,1412,1871,3.76,0.328,1.96,1.91,1,1100,IDENT sample id=1 seq=36 t_ms=720 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=3.760 pitch=0.328 gx=1.96 gy=1.91 rc_arm=1 throttle_us=1100
1779808043.092921,1,38,760,roll,step,1412,1871,3.389,0.328,11.33,2.25,1,1100,IDENT sample id=1 seq=38 t_ms=760 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=3.389 pitch=0.328 gx=11.33 gy=2.25 rc_arm=1 throttle_us=1100
1779808043.107414,1,40,800,roll,step,1412,1871,2.617,0.356,15.14,2.46,1,1100,IDENT sample id=1 seq=40 t_ms=800 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=2.617 pitch=0.356 gx=15.14 gy=2.46 rc_arm=1 throttle_us=1100
1779808043.123411,1,42,840,roll,step,1412,1871,1.632,0.411,12.31,2.34,1,1100,IDENT sample id=1 seq=42 t_ms=840 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=1.632 pitch=0.411 gx=12.31 gy=2.34 rc_arm=1 throttle_us=1100
1779808043.142514,1,44,880,roll,step,1412,1871,0.764,0.463,3.47,2.22,1,1100,IDENT sample id=1 seq=44 t_ms=880 axis=roll mode=step alpha_us=1412 beta_us=1871 roll=0.764 pitch=0.463 gx=3.47 gy=2.22 rc_arm=1 throttle_us=1100
