host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826237.755808,2,0,0,roll,step,1412,1881,-0.753,-0.495,4.06,0.06,1,1100,IDENT sample id=2 seq=0 t_ms=0 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.753 pitch=-0.495 gx=4.06 gy=0.06 rc_arm=1 throttle_us=1100
1779826237.868447,2,4,80,roll,step,1412,1881,-0.759,-0.494,4.1,-0.05,1,1100,IDENT sample id=2 seq=4 t_ms=80 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.759 pitch=-0.494 gx=4.10 gy=-0.05 rc_arm=1 throttle_us=1100
1779826238.097656,2,13,261,roll,step,1412,1881,-0.753,-0.506,3.96,-0.12,1,1100,IDENT sample id=2 seq=13 t_ms=261 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.753 pitch=-0.506 gx=3.96 gy=-0.12 rc_arm=1 throttle_us=1100
1779826238.105187,2,17,341,roll,step,1412,1881,-0.744,-0.517,3.98,-0.15,1,1100,IDENT sample id=2 seq=17 t_ms=341 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.744 pitch=-0.517 gx=3.98 gy=-0.15 rc_arm=1 throttle_us=1100
1779826238.220148,2,19,381,roll,step,1412,1881,-0.741,-0.521,4.03,-0.15,1,1100,IDENT sample id=2 seq=19 t_ms=381 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.741 pitch=-0.521 gx=4.03 gy=-0.15 rc_arm=1 throttle_us=1100
1779826238.227082,2,22,441,roll,step,1412,1881,-0.745,-0.524,4.06,-0.15,1,1100,IDENT sample id=2 seq=22 t_ms=441 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.745 pitch=-0.524 gx=4.06 gy=-0.15 rc_arm=1 throttle_us=1100
1779826238.345865,2,26,521,roll,step,1412,1881,-0.745,-0.531,3.96,-0.22,1,1100,IDENT sample id=2 seq=26 t_ms=521 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.745 pitch=-0.531 gx=3.96 gy=-0.22 rc_arm=1 throttle_us=1100
1779826238.452505,2,30,601,roll,step,1412,1881,-0.743,-0.54,3.9,-0.19,1,1100,IDENT sample id=2 seq=30 t_ms=601 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.743 pitch=-0.540 gx=3.90 gy=-0.19 rc_arm=1 throttle_us=1100
1779826238.458237,2,32,641,roll,step,1412,1881,-0.738,-0.542,3.8,-0.26,1,1100,IDENT sample id=2 seq=32 t_ms=641 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.738 pitch=-0.542 gx=3.80 gy=-0.26 rc_arm=1 throttle_us=1100
1779826238.579856,2,35,701,roll,step,1412,1881,-0.732,-0.548,3.91,-0.26,1,1100,IDENT sample id=2 seq=35 t_ms=701 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.732 pitch=-0.548 gx=3.91 gy=-0.26 rc_arm=1 throttle_us=1100
1779826238.586352,2,37,741,roll,step,1412,1881,-0.732,-0.551,3.96,-0.28,1,1100,IDENT sample id=2 seq=37 t_ms=741 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.732 pitch=-0.551 gx=3.96 gy=-0.28 rc_arm=1 throttle_us=1100
1779826238.595155,2,39,781,roll,step,1412,1881,-0.73,-0.554,4.0,-0.27,1,1100,IDENT sample id=2 seq=39 t_ms=781 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.730 pitch=-0.554 gx=4.00 gy=-0.27 rc_arm=1 throttle_us=1100
1779826238.716975,2,42,841,roll,step,1412,1881,-0.733,-0.561,4.04,-0.3,1,1100,IDENT sample id=2 seq=42 t_ms=841 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.733 pitch=-0.561 gx=4.04 gy=-0.30 rc_arm=1 throttle_us=1100
1779826238.723975,2,45,901,roll,step,1412,1881,-0.736,-0.568,4.01,-0.28,1,1100,IDENT sample id=2 seq=45 t_ms=901 axis=roll mode=step alpha_us=1412 beta_us=1881 roll=-0.736 pitch=-0.568 gx=4.01 gy=-0.28 rc_arm=1 throttle_us=1100
