host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826393.348095,7,3,60,pitch,step,1442,1851,-2.474,0.157,21.57,4.69,1,1266,IDENT sample id=7 seq=3 t_ms=60 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-2.474 pitch=0.157 gx=21.57 gy=4.69 rc_arm=1 throttle_us=1266
1779826393.577283,7,10,200,pitch,step,1442,1851,-3.965,0.233,13.71,-4.63,1,1266,IDENT sample id=7 seq=10 t_ms=200 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-3.965 pitch=0.233 gx=13.71 gy=-4.63 rc_arm=1 throttle_us=1266
1779826393.583132,7,12,240,pitch,step,1442,1851,-4.143,0.002,5.89,-7.19,1,1266,IDENT sample id=7 seq=12 t_ms=240 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-4.143 pitch=0.002 gx=5.89 gy=-7.19 rc_arm=1 throttle_us=1266
1779826393.810136,7,21,420,pitch,step,1442,1851,-1.489,-1.887,-7.48,-4.43,1,1266,IDENT sample id=7 seq=21 t_ms=420 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.489 pitch=-1.887 gx=-7.48 gy=-4.43 rc_arm=1 throttle_us=1266
1779826393.919330,7,26,520,pitch,step,1442,1851,-0.424,-2.0,10.36,2.65,1,1267,IDENT sample id=7 seq=26 t_ms=520 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.424 pitch=-2.000 gx=10.36 gy=2.65 rc_arm=1 throttle_us=1267
1779826393.924940,7,28,560,pitch,step,1442,1851,-0.71,-1.787,16.38,2.73,1,1266,IDENT sample id=7 seq=28 t_ms=560 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.710 pitch=-1.787 gx=16.38 gy=2.73 rc_arm=1 throttle_us=1266
1779826393.931969,7,30,600,pitch,step,1442,1851,-1.31,-1.595,19.28,1.42,1,1266,IDENT sample id=7 seq=30 t_ms=600 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.310 pitch=-1.595 gx=19.28 gy=1.42 rc_arm=1 throttle_us=1266
1779826394.044717,7,32,640,pitch,step,1442,1851,-1.969,-1.499,16.52,1.0,1,1266,IDENT sample id=7 seq=32 t_ms=640 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.969 pitch=-1.499 gx=16.52 gy=1.00 rc_arm=1 throttle_us=1266
1779826394.154797,7,40,801,pitch,step,1442,1851,-2.071,-1.164,-15.25,5.63,1,1266,IDENT sample id=7 seq=40 t_ms=801 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-2.071 pitch=-1.164 gx=-15.25 gy=5.63 rc_arm=1 throttle_us=1266
1779826394.263065,7,44,881,pitch,step,1442,1851,-0.76,-0.582,-12.08,9.2,1,1266,IDENT sample id=7 seq=44 t_ms=881 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.760 pitch=-0.582 gx=-12.08 gy=9.20 rc_arm=1 throttle_us=1266
1779826394.269129,7,46,921,pitch,step,1442,1851,-0.244,-0.166,-7.03,9.9,1,1266,IDENT sample id=7 seq=46 t_ms=921 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.244 pitch=-0.166 gx=-7.03 gy=9.90 rc_arm=1 throttle_us=1266
1779826394.388441,7,48,961,pitch,step,1442,1851,0.043,0.247,-2.16,7.04,1,1266,IDENT sample id=7 seq=48 t_ms=961 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.043 pitch=0.247 gx=-2.16 gy=7.04 rc_arm=1 throttle_us=1266
1779826394.394618,7,50,1001,pitch,step,1442,1851,0.039,0.557,0.43,3.31,1,1266,IDENT sample id=7 seq=50 t_ms=1001 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.039 pitch=0.557 gx=0.43 gy=3.31 rc_arm=1 throttle_us=1266
1779826394.402156,7,52,1041,pitch,step,1442,1851,-0.174,0.692,-0.07,-2.94,1,1267,IDENT sample id=7 seq=52 t_ms=1041 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.174 pitch=0.692 gx=-0.07 gy=-2.94 rc_arm=1 throttle_us=1267
1779826394.623131,7,60,1201,pitch,step,1442,1851,-0.254,-0.411,-11.54,-3.95,1,1266,IDENT sample id=7 seq=60 t_ms=1201 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.254 pitch=-0.411 gx=-11.54 gy=-3.95 rc_arm=1 throttle_us=1266
