host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826255.449446,3,114,2282,roll,doublet,1412,1821,-0.823,-0.53,5.57,0.04,1,1100,IDENT sample id=3 seq=114 t_ms=2282 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.823 pitch=-0.530 gx=5.57 gy=0.04 rc_arm=1 throttle_us=1100
1779826255.455683,3,116,2322,roll,doublet,1412,1821,-0.893,-0.523,4.52,0.08,1,1100,IDENT sample id=3 seq=116 t_ms=2322 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.893 pitch=-0.523 gx=4.52 gy=0.08 rc_arm=1 throttle_us=1100
1779826255.467245,3,118,2362,roll,doublet,1412,1821,-0.91,-0.52,3.38,0.01,1,1100,IDENT sample id=3 seq=118 t_ms=2362 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.910 pitch=-0.520 gx=3.38 gy=0.01 rc_arm=1 throttle_us=1100
1779826255.474789,3,120,2402,roll,doublet,1412,1821,-0.881,-0.517,2.5,0.04,1,1100,IDENT sample id=3 seq=120 t_ms=2402 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.881 pitch=-0.517 gx=2.50 gy=0.04 rc_arm=1 throttle_us=1100
1779826255.589993,3,121,2422,roll,doublet,1412,1821,-0.852,-0.51,2.28,0.0,1,1100,IDENT sample id=3 seq=121 t_ms=2422 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.852 pitch=-0.510 gx=2.28 gy=0.00 rc_arm=1 throttle_us=1100
1779826255.596704,3,122,2442,roll,doublet,1412,1821,-0.812,-0.51,2.24,-0.08,1,1100,IDENT sample id=3 seq=122 t_ms=2442 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.812 pitch=-0.510 gx=2.24 gy=-0.08 rc_arm=1 throttle_us=1100
1779826255.711797,3,123,2462,roll,doublet,1412,1821,-0.765,-0.506,2.36,0.01,1,1100,IDENT sample id=3 seq=123 t_ms=2462 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.765 pitch=-0.506 gx=2.36 gy=0.01 rc_arm=1 throttle_us=1100
1779826255.834780,3,124,2482,roll,doublet,1412,1821,-0.721,-0.511,2.58,-0.09,1,1100,IDENT sample id=3 seq=124 t_ms=2482 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.721 pitch=-0.511 gx=2.58 gy=-0.09 rc_arm=1 throttle_us=1100
1779826255.841600,3,125,2502,roll,doublet,1412,1821,-0.68,-0.509,2.96,-0.03,1,1100,IDENT sample id=3 seq=125 t_ms=2502 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.680 pitch=-0.509 gx=2.96 gy=-0.03 rc_arm=1 throttle_us=1100
1779826255.851102,3,126,2522,roll,doublet,1412,1821,-0.647,-0.515,3.47,-0.08,1,1100,IDENT sample id=3 seq=126 t_ms=2522 axis=roll mode=doublet alpha_us=1412 beta_us=1821 roll=-0.647 pitch=-0.515 gx=3.47 gy=-0.08 rc_arm=1 throttle_us=1100
