host_time,id,seq,t_ms,axis,mode,alpha_us,beta_us,roll,pitch,gx,gy,rc_arm,throttle_us,line
1779826276.685237,4,2,40,pitch,step,1442,1851,-1.268,-2.462,13.08,-3.27,1,1294,IDENT sample id=4 seq=2 t_ms=40 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.268 pitch=-2.462 gx=13.08 gy=-3.27 rc_arm=1 throttle_us=1294
1779826276.800164,4,6,120,pitch,step,1442,1851,-2.24,-1.711,-1.0,16.25,1,1294,IDENT sample id=4 seq=6 t_ms=120 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-2.240 pitch=-1.711 gx=-1.00 gy=16.25 rc_arm=1 throttle_us=1294
1779826277.023322,4,13,260,pitch,step,1442,1851,-0.992,0.544,-14.7,18.58,1,1295,IDENT sample id=4 seq=13 t_ms=260 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.992 pitch=0.544 gx=-14.70 gy=18.58 rc_arm=1 throttle_us=1295
1779826277.029855,4,15,300,pitch,step,1442,1851,-0.26,1.409,-13.85,17.34,1,1295,IDENT sample id=4 seq=15 t_ms=300 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-0.260 pitch=1.409 gx=-13.85 gy=17.34 rc_arm=1 throttle_us=1295
1779826277.147819,4,21,420,pitch,step,1442,1851,0.616,2.605,-2.1,-2.33,1,1295,IDENT sample id=4 seq=21 t_ms=420 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.616 pitch=2.605 gx=-2.10 gy=-2.33 rc_arm=1 throttle_us=1295
1779826277.256093,4,25,500,pitch,step,1442,1851,0.486,1.946,-4.89,-14.28,1,1295,IDENT sample id=4 seq=25 t_ms=500 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.486 pitch=1.946 gx=-4.89 gy=-14.28 rc_arm=1 throttle_us=1295
1779826277.262621,4,29,580,pitch,step,1442,1851,0.673,0.395,-12.23,-16.06,1,1297,IDENT sample id=4 seq=29 t_ms=580 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.673 pitch=0.395 gx=-12.23 gy=-16.06 rc_arm=1 throttle_us=1297
1779826277.285562,4,31,620,pitch,step,1442,1851,0.965,-0.184,-12.41,-14.31,1,1295,IDENT sample id=4 seq=31 t_ms=620 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.965 pitch=-0.184 gx=-12.41 gy=-14.31 rc_arm=1 throttle_us=1295
1779826277.412203,4,33,660,pitch,step,1442,1851,1.241,-0.856,-8.55,-9.64,1,1295,IDENT sample id=4 seq=33 t_ms=660 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=1.241 pitch=-0.856 gx=-8.55 gy=-9.64 rc_arm=1 throttle_us=1295
1779826277.417725,4,35,700,pitch,step,1442,1851,1.469,-1.08,-3.85,-4.11,1,1295,IDENT sample id=4 seq=35 t_ms=700 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=1.469 pitch=-1.080 gx=-3.85 gy=-4.11 rc_arm=1 throttle_us=1295
1779826277.537282,4,41,820,pitch,step,1442,1851,0.184,-1.112,13.23,-4.38,1,1295,IDENT sample id=4 seq=41 t_ms=820 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=0.184 pitch=-1.112 gx=13.23 gy=-4.38 rc_arm=1 throttle_us=1295
1779826277.660530,4,47,940,pitch,step,1442,1851,-1.845,-1.461,-0.45,-1.02,1,1294,IDENT sample id=4 seq=47 t_ms=940 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.845 pitch=-1.461 gx=-0.45 gy=-1.02 rc_arm=1 throttle_us=1294
1779826277.666532,4,49,980,pitch,step,1442,1851,-1.944,-1.571,-5.46,8.47,1,1295,IDENT sample id=4 seq=49 t_ms=980 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-1.944 pitch=-1.571 gx=-5.46 gy=8.47 rc_arm=1 throttle_us=1295
1779826277.785661,4,51,1020,pitch,step,1442,1851,-2.016,-1.106,-3.11,13.05,1,1295,IDENT sample id=4 seq=51 t_ms=1020 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-2.016 pitch=-1.106 gx=-3.11 gy=13.05 rc_arm=1 throttle_us=1295
1779826277.791664,4,53,1060,pitch,step,1442,1851,-2.196,-0.699,2.08,19.79,1,1295,IDENT sample id=4 seq=53 t_ms=1060 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-2.196 pitch=-0.699 gx=2.08 gy=19.79 rc_arm=1 throttle_us=1295
1779826277.800754,4,55,1100,pitch,step,1442,1851,-2.529,0.108,6.17,17.98,1,1295,IDENT sample id=4 seq=55 t_ms=1100 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-2.529 pitch=0.108 gx=6.17 gy=17.98 rc_arm=1 throttle_us=1295
1779826277.925081,4,61,1220,pitch,step,1442,1851,-4.222,1.527,-3.54,6.68,1,1295,IDENT sample id=4 seq=61 t_ms=1220 axis=pitch mode=step alpha_us=1442 beta_us=1851 roll=-4.222 pitch=1.527 gx=-3.54 gy=6.68 rc_arm=1 throttle_us=1295
