Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,1,1
0.233168125,1,0,0,0,1
0.233169188,1,1,0,0,1
0.233170250,1,0,0,1,1
0.233170313,1,0,0,0,1
0.233171313,1,1,0,0,1
0.233172437,1,0,0,0,1
0.233173500,1,1,0,0,1
0.233174562,1,0,0,0,1
0.233175625,1,1,0,0,1
0.233176688,1,0,0,0,1
0.233177750,1,1,0,0,1
0.233178812,1,0,0,0,1
0.233179875,1,1,0,0,1
0.233180937,1,1,1,1,1
0.607123312,1,0,0,0,1
0.607124375,1,1,0,0,1
0.607125437,1,0,0,0,1
0.607126500,1,1,0,0,1
0.607127562,1,0,0,0,1
0.607128625,1,1,0,0,1
0.607129687,1,0,0,0,1
0.607130750,1,1,0,0,1
0.607131813,1,0,0,0,1
0.607132875,1,1,0,0,1
0.607133937,1,0,0,0,1
0.607135000,1,1,0,0,1
0.607136125,1,1,1,1,1
0.981078563,1,0,0,0,1
0.981079625,1,1,0,0,1
0.981080687,1,0,0,0,1
0.981081750,1,1,0,0,1
0.981082812,1,0,0,0,1
0.981083875,1,1,0,0,1
0.981084938,1,0,0,0,1
0.981086000,1,1,0,0,1
0.981087062,1,0,0,0,1
0.981088125,1,1,0,0,1
0.981089187,1,0,0,0,1
0.981090250,1,1,0,0,1
0.981091313,1,1,1,1,1
1.355033938,1,0,0,0,1
1.355035000,1,1,0,0,1
1.355036062,1,0,0,0,1
1.355037125,1,1,0,0,1
1.355038187,1,0,0,0,1
1.355039250,1,1,0,0,1
1.355040312,1,0,0,0,1
1.355041375,1,1,0,0,1
1.355042438,1,0,0,0,1
1.355043500,1,1,0,0,1
1.355044625,1,0,0,0,1
1.355045688,1,1,0,0,1
1.355046750,1,1,1,1,1
1.728989062,1,0,1,1,1
1.728989125,1,0,0,0,1
1.728990125,1,1,0,0,1
1.728991250,1,0,0,0,1
1.728992312,1,1,0,0,1
1.728993375,1,0,0,0,1
1.728994437,1,1,0,0,1
1.728995500,1,0,0,0,1
1.728996562,1,1,0,0,1
1.728997625,1,0,0,0,1
1.728998688,1,1,0,0,1
1.728999750,1,0,0,0,1
1.729000813,1,1,0,0,1
1.729001875,1,1,1,1,1
2.102944438,1,0,0,0,1
2.102945500,1,1,0,0,1
2.102946563,1,0,0,0,1
2.102947625,1,1,0,0,1
2.102948688,1,0,0,0,1
2.102949750,1,1,0,0,1
2.102950813,1,0,0,0,1
2.102951875,1,1,0,0,1
2.102952938,1,0,0,0,1
2.102954000,1,1,0,0,1
2.102955062,1,0,0,0,1
2.102956125,1,1,0,0,1
2.102957187,1,1,1,1,1
2.476899750,1,0,0,0,1
2.476900812,1,1,0,0,1
2.476901875,1,0,0,0,1
2.476902937,1,1,0,0,1
2.476904063,1,0,0,0,1
2.476905125,1,1,0,0,1
2.476906188,1,0,0,0,1
2.476907250,1,1,0,0,1
2.476908312,1,0,0,0,1
2.476909375,1,1,0,0,1
2.476910437,1,0,0,0,1
2.476911500,1,1,0,0,1
2.476912562,1,1,1,1,1
2.850854813,1,0,0,0,1
2.850855875,1,1,0,0,1
2.850856938,1,0,0,0,1
2.850858000,1,1,0,0,1
2.850859063,1,0,0,0,1
2.850860125,1,1,0,0,1
2.850861188,1,0,0,0,1
2.850862250,1,1,0,0,1
2.850863313,1,0,0,0,1
2.850864375,1,1,0,0,1
2.850865500,1,0,0,0,1
2.850866562,1,1,0,0,1
2.850867625,1,1,1,1,1
3.059712000,1,1,1,1,1
