Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4
0.000000000,1,1,1,1,1
0.296184750,1,1,0,0,1
0.296188125,1,0,0,0,1
0.296192625,1,1,0,0,1
0.296197500,1,0,0,0,1
0.296203625,1,1,0,0,1
0.296206875,1,0,0,0,1
0.296213000,1,1,0,0,1
0.296216250,1,0,0,0,1
0.296220125,1,1,1,1,1
0.296220375,1,0,0,0,1
0.296220500,1,1,1,1,1
0.296221250,1,0,0,0,1
0.296221375,1,1,1,1,1
0.296222375,1,1,0,0,1
0.296225625,1,0,0,0,1
0.296231750,1,1,0,0,1
0.296235125,1,0,0,0,1
0.296238500,1,1,1,1,1
0.670139875,1,1,0,0,1
0.670142750,1,0,0,0,1
0.670148625,1,1,0,0,1
0.670152250,1,0,0,0,1
0.670157125,1,1,0,0,1
0.670157500,1,1,1,1,1
0.670158250,1,1,1,0,1
0.670158375,1,1,0,0,1
0.670161625,1,0,0,0,1
0.670162625,1,1,1,1,1
0.670162875,1,0,0,0,1
0.670163000,1,1,1,1,1
0.670163250,1,0,0,0,1
0.670163875,1,1,1,1,1
0.670164125,1,0,0,0,1
0.670166500,1,1,1,1,1
0.670167750,1,1,0,0,1
0.670171000,1,0,0,0,1
0.670175875,1,1,1,1,1
0.670177125,1,1,0,0,1
0.670180375,1,0,0,0,1
0.670184750,1,1,1,1,1
0.670185000,1,0,0,0,1
0.670185125,1,1,1,1,1
0.670185875,1,1,1,0,1
0.670186000,1,1,1,1,1
0.670186500,1,1,0,0,1
0.670189750,1,0,0,0,1
0.670193250,1,1,1,1,1
1.044091875,1,1,1,0,1
1.044092125,1,1,1,1,1
1.044094750,1,1,0,0,1
1.044097750,1,0,0,0,1
1.044103625,1,1,1,1,1
1.044103750,1,1,0,0,1
1.044107125,1,0,0,0,1
1.044113000,1,1,1,1,1
1.044113125,1,1,0,0,1
1.044116500,1,0,0,0,1
1.044122375,1,1,1,1,1
1.044122625,1,1,0,0,1
1.044125875,1,0,0,0,1
1.044131750,1,1,0,0,1
1.044131875,1,1,1,1,1
1.044132000,1,1,0,0,1
1.044135250,1,0,0,0,1
1.044138250,1,1,1,1,1
1.044138500,1,0,0,0,1
1.044138625,1,1,1,1,1
1.044138875,1,0,0,0,1
1.044139500,1,1,1,1,1
1.044141375,1,1,1,0,1
1.044141750,1,1,0,0,1
1.044144625,1,0,0,0,1
1.044148125,1,1,1,1,1
1.418049625,1,1,0,0,1
1.418049750,1,1,1,1,1
1.418049875,1,1,0,0,1
1.418053000,1,0,0,0,1
1.418059000,1,1,0,0,1
1.418062375,1,0,0,0,1
1.418067500,1,1,1,1,1
1.418068500,1,1,0,0,1
1.418071750,1,0,0,0,1
1.418076875,1,1,1,1,1
1.418077875,1,1,0,0,1
1.418081125,1,0,0,0,1
1.418086250,1,1,1,1,1
1.418087250,1,1,0,0,1
1.418090625,1,0,0,0,1
1.418095625,1,1,1,1,1
1.418096625,1,1,0,0,1
1.418100000,1,0,0,0,1
1.418103375,1,1,1,1,1
1.792004875,1,1,0,0,1
1.792008000,1,0,0,0,1
1.792014125,1,1,0,0,1
1.792017375,1,0,0,0,1
1.792023500,1,1,0,0,1
1.792026875,1,0,0,0,1
1.792030750,1,1,0,0,1
1.792031500,1,1,1,1,1
1.792033000,1,1,0,0,1
1.792036250,1,0,0,0,1
1.792039875,1,1,1,1,1
1.792040000,1,0,0,0,1
1.792040125,1,1,1,1,1
1.792042375,1,1,0,0,1
1.792045625,1,0,0,0,1
1.792049625,1,1,0,0,1
1.792050375,1,1,1,1,1
1.792051750,1,1,0,0,1
1.792055000,1,0,0,0,1
1.792058375,1,1,1,1,1
2.165959875,1,1,0,0,1
2.165963125,1,0,0,0,1
2.165969125,1,1,0,0,1
2.165972500,1,0,0,0,1
2.165978625,1,1,0,0,1
2.165981875,1,0,0,0,1
2.165985750,1,1,1,1,1
2.165986375,1,0,0,0,1
2.165986875,1,1,1,1,1
2.165988000,1,1,0,0,1
2.165991250,1,0,0,0,1
2.165995625,1,1,1,1,1
2.165997375,1,1,0,0,1
2.166000750,1,0,0,0,1
2.166005000,1,1,1,1,1
2.166006750,1,1,0,0,1
2.166010125,1,0,0,0,1
2.166013500,1,1,1,1,1
2.539915625,1,1,0,0,1
2.539918875,1,0,0,0,1
2.539921125,1,1,1,1,1
2.539921375,1,0,0,0,1
2.539921625,1,1,1,1,1
2.539921750,1,0,0,0,1
2.539922000,1,1,1,1,1
2.539922125,1,0,0,0,1
2.539922750,1,1,1,1,1
2.539925000,1,1,0,0,1
2.539928250,1,0,0,0,1
2.539934375,1,1,0,0,1
2.539937750,1,0,0,0,1
2.539942625,1,1,1,1,1
2.539943750,1,1,1,0,1
2.539944000,1,1,0,0,1
2.539947125,1,0,0,0,1
2.539951500,1,1,0,0,1
2.539951750,1,1,1,1,1
