index,timestamp_us,dt_us,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_filt_x_g,accel_filt_y_g,accel_filt_z_g,gyro_filt_x_dps,gyro_filt_y_dps,gyro_filt_z_dps,roll_deg,pitch_deg,yaw_deg,motor_upper_us,motor_lower_us,servo_alpha_us,servo_beta_us,accel_error_deg,fusion_flags,flight_flags,armed,gyro_bias_ready
0,127035383,,-97,2629,114,-319,-241,-54,-0.04736328125,1.28369140625,0.0556640625,-9.725609756097562,-7.347560975609757,-1.6463414634146343,0.267,-0.019,1.018,0.42,0.64,-5.51,0.65,-1.07,1.0,1633,1633,1500,1500,13.67,0,3,1,1
1,127036391,1008,-290,2421,1962,-384,-1,-21,-0.1416015625,1.18212890625,0.9580078125,-11.707317073170733,-0.030487804878048783,-0.6402439024390244,0.073,0.006,1.044,0.49,4.21,-3.59,0.64,-1.07,1.0,1633,1633,1500,1500,3.1,0,3,1,1
2,127037400,1009,-65,1622,2422,-251,201,15,-0.03173828125,0.7919921875,1.1826171875,-7.652439024390245,6.128048780487806,0.4573170731707317,-0.125,0.01,1.004,0.16,5.23,-0.25,0.64,-1.06,1.0,1633,1633,1500,1500,8.31,0,3,1,1
3,127038408,1008,409,1309,1487,-53,283,39,0.19970703125,0.63916015625,0.72607421875,-1.6158536585365855,8.628048780487806,1.1890243902439026,-0.221,-0.023,0.946,-0.29,3.89,2.8,0.64,-1.05,1.0,1633,1633,1500,1500,14.23,0,3,1,1
4,127039416,1008,486,2038,541,67,206,38,0.2373046875,0.9951171875,0.26416015625,2.0426829268292686,6.2804878048780495,1.1585365853658538,-0.227,-0.057,0.954,-0.59,1.77,4.05,0.65,-1.04,1.01,1633,1633,1500,1500,14.73,0,3,1,1
5,127040425,1009,287,2559,-75,80,59,-7,0.14013671875,1.24951171875,-0.03662109375,2.439024390243903,1.7987804878048783,-0.2134146341463415,-0.185,-0.07,1.001,-0.32,0.23,3.38,0.65,-1.03,1.01,1633,1633,1500,1500,12.02,0,3,1,1
6,127041433,1008,4,2216,-1013,63,-94,-63,0.001953125,1.08203125,-0.49462890625,1.9207317073170733,-2.8658536585365857,-1.9207317073170733,-0.078,-0.059,1.013,0.41,-0.61,1.38,0.65,-1.03,1.01,1633,1633,1500,1500,6.06,0,3,1,1
7,127042441,1008,-508,2094,-1036,64,-197,-85,-0.248046875,1.0224609375,-0.505859375,1.9512195121951221,-6.00609756097561,-2.5914634146341466,0.014,-0.01,1.015,1.13,-1.19,-1.0,0.65,-1.03,1.01,1633,1633,1500,1500,0.21,0,3,1,1
8,127043450,1009,-793,2310,219,51,-152,-34,-0.38720703125,1.1279296875,0.10693359375,1.5548780487804879,-4.634146341463415,-1.0365853658536586,-0.004,0.052,1.033,1.09,-1.44,-2.12,0.65,-1.03,1.01,1633,1633,1500,1500,3.79,0,3,1,1
9,127044458,1008,-247,1870,672,90,-73,39,-0.12060546875,0.9130859375,0.328125,2.7439024390243905,-2.225609756097561,1.1890243902439026,-0.055,0.063,1.014,0.32,-2.01,-2.07,0.64,-1.03,1.01,1633,1633,1500,1500,5.95,0,3,1,1
10,127045467,1009,836,1262,-90,217,-106,56,0.408203125,0.6162109375,-0.0439453125,6.615853658536586,-3.231707317073171,1.707317073170732,-0.04,-0.011,0.95,-0.36,-3.68,-2.37,0.64,-1.03,1.0,1633,1633,1500,1500,3.45,0,3,1,1
11,127046475,1008,1102,1748,-1096,298,-136,35,0.5380859375,0.853515625,-0.53515625,9.085365853658537,-4.146341463414634,1.0670731707317074,0.051,-0.095,0.935,-0.6,-5.62,-2.88,0.65,-1.04,1.0,1633,1633,1500,1500,5.55,0,3,1,1
12,127047483,1008,172,2575,-1704,200,-114,-13,0.083984375,1.25732421875,-0.83203125,6.097560975609756,-3.4756097560975614,-0.39634146341463417,0.174,-0.093,0.986,-0.27,-5.91,-2.99,0.65,-1.05,1.0,1633,1633,1500,1500,10.14,0,3,1,1
13,127048492,1009,-718,2464,-1179,-57,-98,-81,-0.3505859375,1.203125,-0.57568359375,-1.7378048780487807,-2.987804878048781,-2.4695121951219514,0.238,-0.022,1.02,0.63,-3.48,-2.9,0.65,-1.06,0.99,1633,1633,1500,1500,12.12,0,3,1,1
14,127049500,1008,-907,2152,48,-279,2,-110,-0.44287109375,1.05078125,0.0234375,-8.506097560975611,0.06097560975609757,-3.353658536585366,0.196,0.05,1.025,1.53,0.39,-1.82,0.65,-1.07,0.99,1633,1633,1500,1500,10.4,0,3,1,1
15,127050508,1008,-815,2209,923,-359,148,-37,-0.39794921875,1.07861328125,0.45068359375,-10.945121951219512,4.51219512195122,-1.128048780487805,0.094,0.106,1.034,1.39,3.79,0.38,0.64,-1.06,0.99,1633,1633,1500,1500,7.69,0,3,1,1
16,127051517,1009,-418,1841,1370,-320,109,74,-0.2041015625,0.89892578125,0.6689453125,-9.756097560975611,3.3231707317073176,2.25609756097561,-0.026,0.121,1.012,0.16,5.65,1.45,0.64,-1.06,0.99,1633,1633,1500,1500,7.92,0,3,1,1
17,127052525,1008,802,1183,1206,-180,-1,116,0.3916015625,0.57763671875,0.5888671875,-5.487804878048781,-0.030487804878048783,3.536585365853659,-0.115,0.04,0.943,-1.07,5.46,1.04,0.64,-1.05,1.0,1633,1633,1500,1500,8.63,0,3,1,1
18,127053533,1008,1734,1491,380,-24,43,101,0.8466796875,0.72802734375,0.185546875,-0.7317073170731708,1.3109756097560976,3.079268292682927,-0.126,-0.1,0.909,-1.75,3.75,1.22,0.64,-1.04,1.0,1633,1633,1500,1500,10.59,0,3,1,1
19,127054542,1009,1042,2684,29,63,97,17,0.5087890625,1.310546875,0.01416015625,1.9207317073170733,2.957317073170732,0.5182926829268293,-0.109,-0.165,0.973,-1.34,1.72,1.88,0.65,-1.03,1.0,1633,1633,1500,1500,11.6,0,3,1,1
20,127055550,1008,-248,3014,182,62,122,-117,-0.12109375,1.4716796875,0.0888671875,1.8902439024390245,3.7195121951219514,-3.5670731707317076,-0.105,-0.119,1.052,0.28,0.38,2.58,0.65,-1.03,1.0,1633,1633,1500,1500,8.93,0,3,1,1
21,127056559,1009,-1108,2246,-14,-5,191,-170,-0.541015625,1.0966796875,-0.0068359375,-0.15243902439024393,5.823170731707317,-5.182926829268293,-0.088,-0.015,1.059,1.91,0.17,3.75,0.65,-1.03,1.0,1633,1633,1500,1500,5.79,0,3,1,1
22,127057566,1007,-1498,1882,-56,-4,166,-99,-0.7314453125,0.9189453125,-0.02734375,-0.12195121951219513,5.060975609756098,-3.0182926829268295,-0.069,0.103,1.036,2.27,0.02,4.28,0.64,-1.02,1.01,1633,1633,1500,1500,7.99,0,3,1,1
23,127058574,1008,-721,1811,-134,125,25,20,-0.35205078125,0.88427734375,-0.0654296875,3.810975609756098,0.7621951219512195,0.6097560975609757,-0.048,0.142,1.012,1.3,-1.39,3.19,0.64,-1.02,1.01,1633,1633,1500,1500,9.44,0,3,1,1
24,127059582,1008,1028,1251,-817,243,-156,120,0.501953125,0.61083984375,-0.39892578125,7.408536585365854,-4.75609756097561,3.658536585365854,0.022,0.04,0.948,-0.36,-3.53,0.61,0.64,-1.03,1.01,1633,1633,1500,1500,3.1,0,3,1,1
25,127060590,1008,1821,1166,-1443,239,-340,137,0.88916015625,0.5693359375,-0.70458984375,7.286585365853659,-10.365853658536587,4.176829268292683,0.13,-0.106,0.888,-1.64,-4.92,-2.96,0.64,-1.04,1.01,1633,1633,1500,1500,9.56,0,3,1,1
26,127061598,1008,908,2261,-1423,115,-359,40,0.443359375,1.10400390625,-0.69482421875,3.50609756097561,-10.945121951219512,1.2195121951219514,0.22,-0.16,0.922,-1.5,-4.58,-5.54,0.65,-1.05,1.0,1633,1633,1500,1500,15.23,0,3,1,1
27,127062605,1007,-530,3211,-398,-101,-152,-92,-0.2587890625,1.56787109375,-0.1943359375,-3.079268292682927,-4.634146341463415,-2.804878048780488,0.216,-0.093,1.025,-0.07,-2.15,-5.15,0.65,-1.05,1.0,1633,1633,1500,1500,11.73,0,3,1,1
28,127063612,1007,-1465,2895,891,-272,144,-151,-0.71533203125,1.41357421875,0.43505859375,-8.292682926829269,4.390243902439025,-4.603658536585367,0.112,0.034,1.086,1.48,1.21,-1.87,0.65,-1.06,1.0,1633,1633,1500,1500,5.46,0,3,1,1
29,127064620,1008,-1583,2086,1173,-258,328,-100,-0.77294921875,1.0185546875,0.57275390625,-7.865853658536586,10.0,-3.048780487804878,0.004,0.151,1.075,2.0,3.3,2.18,0.64,-1.05,1.0,1633,1633,1500,1500,8.72,0,3,1,1
30,127065627,1007,-868,1548,740,-179,218,32,-0.423828125,0.755859375,0.361328125,-5.457317073170732,6.646341463414635,0.9756097560975611,-0.053,0.194,1.025,0.99,3.89,3.76,0.63,-1.05,1.0,1633,1633,1500,1500,12.09,0,3,1,1
31,127066635,1008,606,1090,216,-130,-81,156,0.2958984375,0.5322265625,0.10546875,-3.963414634146342,-2.4695121951219514,4.75609756097561,-0.062,0.116,0.947,-0.93,3.78,1.76,0.63,-1.04,1.01,1633,1633,1500,1500,9.04,0,3,1,1
32,127067643,1008,1973,1156,-86,-95,-266,182,0.96337890625,0.564453125,-0.0419921875,-2.8963414634146343,-8.109756097560977,5.548780487804878,-0.045,-0.054,0.886,-2.48,3.35,-1.45,0.63,-1.03,1.0,1633,1633,1500,1500,4.91,0,3,1,1
33,127068651,1008,1873,2251,18,-73,-190,98,0.91455078125,1.09912109375,0.0087890625,-2.225609756097561,-5.7926829268292686,2.987804878048781,-0.039,-0.19,0.92,-2.66,2.84,-2.81,0.64,-1.03,1.0,1633,1633,1500,1500,11.6,0,3,1,1
34,127069659,1008,443,3212,100,-16,19,-57,0.21630859375,1.568359375,0.048828125,-0.48780487804878053,0.5792682926829269,-1.7378048780487807,-0.041,-0.194,1.022,-1.19,1.92,-1.59,0.65,-1.03,1.0,1633,1633,1500,1500,10.67,0,3,1,1
35,127070666,1007,-1041,3034,208,33,209,-189,-0.50830078125,1.4814453125,0.1015625,1.0060975609756098,6.371951219512195,-5.76219512195122,-0.05,-0.083,1.095,1.12,0.81,1.15,0.65,-1.02,1.0,1633,1633,1500,1500,5.21,0,3,1,1
36,127071675,1009,-1737,2448,340,56,355,-188,-0.84814453125,1.1953125,0.166015625,1.707317073170732,10.823170731707318,-5.731707317073171,-0.069,0.064,1.111,2.65,-0.16,4.47,0.64,-1.02,1.0,1633,1633,1500,1500,6.06,0,3,1,1
37,127072683,1008,-1294,1777,-251,115,291,-59,-0.6318359375,0.86767578125,-0.12255859375,3.50609756097561,8.871951219512196,-1.7987804878048783,-0.038,0.154,1.072,2.36,-1.41,6.03,0.64,-1.02,1.01,1633,1633,1500,1500,9.36,0,3,1,1
38,127073691,1008,229,801,-1200,178,-60,80,0.11181640625,0.39111328125,-0.5859375,5.426829268292684,-1.829268292682927,2.439024390243903,0.06,0.112,0.964,0.75,-2.88,3.49,0.63,-1.03,1.01,1633,1633,1500,1500,7.7,0,3,1,1
39,127074699,1008,1636,698,-1712,157,-417,161,0.798828125,0.3408203125,-0.8359375,4.786585365853659,-12.713414634146343,4.908536585365854,0.183,-0.032,0.865,-1.14,-3.65,-1.84,0.63,-1.04,1.01,1633,1633,1500,1500,11.02,0,3,1,1
40,127075704,1005,1508,1869,-1477,16,-560,146,0.736328125,0.91259765625,-0.72119140625,0.48780487804878053,-17.073170731707318,4.451219512195122,0.268,-0.143,0.873,-2.26,-2.72,-6.84,0.64,-1.05,1.01,1633,1633,1500,1500,18.04,0,3,1,1
41,127076711,1007,126,2832,-111,-151,-402,20,0.0615234375,1.3828125,-0.05419921875,-4.603658536585367,-12.256097560975611,0.6097560975609757,0.234,-0.13,0.953,-1.71,-0.4,-8.57,0.65,-1.05,1.0,1633,1633,1500,1500,14.5,0,3,1,1
42,127077720,1009,-1142,3000,1396,-232,56,-116,-0.5576171875,1.46484375,0.681640625,-7.073170731707318,1.707317073170732,-3.536585365853659,0.089,-0.021,1.035,0.03,1.96,-5.04,0.65,-1.05,0.99,1633,1633,1500,1500,3.91,0,3,1,1
43,127078728,1008,-1528,2636,1780,-203,453,-124,-0.74609375,1.287109375,0.869140625,-6.189024390243903,13.810975609756099,-3.780487804878049,-0.062,0.1,1.074,1.28,3.24,1.34,0.64,-1.05,0.99,1633,1633,1500,1500,7.4,0,3,1,1
44,127079736,1008,-1131,1929,1326,-136,424,-11,-0.55224609375,0.94189453125,0.6474609375,-4.146341463414634,12.926829268292684,-0.3353658536585366,-0.155,0.171,1.053,0.95,3.41,5.3,0.64,-1.04,1.0,1633,1633,1500,1500,13.6,0,3,1,1
