key,count,duration_s,roll_rms_deg,pitch_rms_deg,gyro_xy_rms_dps,yaw_rate_rms_dps,tilt_saturation_pct,motor_high_saturation_pct,motor_low_saturation_pct,direct_throttle_pct,throttle_mean_us,total_force_mean_n
"roll_angle_kp=-0.6, roll_rate_kd=0.4, pitch_angle_kp=-0.2, pitch_rate_kd=0.4, pos_z_kp=3.8, yaw_rate_kd=0.5",2781,24.84836199999996,4.9252488129236776,1.805647285251398,14.346367557365728,9.621961801761675,0.1438331535418914,0.0,6.544408486156059,6.6522833513124775,1493.32650125854,12.466839711814423
"roll_angle_kp=-0.6, roll_rate_kd=0.4, pitch_angle_kp=-0.6, pitch_rate_kd=0.4, pos_z_kp=3.8, yaw_rate_kd=0.5",860,7.7801709999999815,2.8952292701514333,3.2808150959096096,17.644123738215434,13.309176095647919,0.0,0.0,0.23255813953488372,7.325581395348837,1615.260465116279,12.623900145153666
"roll_angle_kp=-0.3, roll_rate_kd=0.4, pitch_angle_kp=-0.2, pitch_rate_kd=0.4, pos_z_kp=3.8, yaw_rate_kd=0.5",864,7.77208299999997,4.637974035641184,3.377205467139127,16.77809520538938,11.667534556544396,0.1736111111111111,0.6944444444444444,6.481481481481482,6.944444444444445,1504.758101851852,12.623090592799363
"roll_angle_kp=-0.1, roll_rate_kd=0.4, pitch_angle_kp=-0.1, pitch_rate_kd=0.4, pos_z_kp=3.8, yaw_rate_kd=0.5",4649,40.83966099999979,5.813767103755767,3.6849235737811354,21.06171182161119,17.62280391313479,1.1185201118520112,0.7098300709830071,6.108840610884061,5.312970531297053,1558.6556248655625,12.694634436125087
