magic,version,size,sequence,dropped_records,timestamp_us,tick_ms,imu_sequence,raw_temperature,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,temperature_c,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,rc_ch1_us,rc_ch2_us,rc_ch3_us,rc_ch4_us,rc_ch5_us,rc_ch6_us,rc_ch7_us,rc_ch8_us,throttle_us,servo_alpha_us,servo_beta_us,motor_upper_us,motor_lower_us,servo_alpha_feedback_us,servo_beta_feedback_us,servo_alpha_feedback_age_ms,servo_beta_feedback_age_ms,servo_alpha_feedback_sequence,servo_beta_feedback_sequence,servo_feedback_valid_mask,servo_alpha_feedback_deg,servo_alpha_feedback_tilt_deg,servo_beta_feedback_deg,servo_beta_feedback_tilt_deg,rc_armed,rc_link_ok,throttle_over_20,imu_valid,motor_output_reason,rc_link_seen,arm_switch_high,arm_throttle_low,arm_switch_seen_low,arm_switch_prev_high,imu_fault_latched,imu_fault_reason,motor_output_reason_name,acc_nav_m_s2_0,acc_nav_m_s2_1,acc_nav_m_s2_2,vel_est_m_s_0,vel_est_m_s_1,vel_est_m_s_2,vel_ref_m_s_0,vel_ref_m_s_1,vel_err_m_s_0,vel_err_m_s_1,vel_pid_out_m_s2_0,vel_pid_out_m_s2_1,vel_pid_p_m_s2_0,vel_pid_p_m_s2_1,vel_pid_i_m_s2_0,vel_pid_i_m_s2_1,vel_pid_d_m_s2_0,vel_pid_d_m_s2_1,vel_loop_active,ctrl_pos_p_m_s2_0,ctrl_pos_p_m_s2_1,ctrl_pos_p_m_s2_2,ctrl_vel_d_m_s2_0,ctrl_vel_d_m_s2_1,ctrl_vel_d_m_s2_2,ctrl_accel_out_m_s2_0,ctrl_accel_out_m_s2_1,ctrl_accel_out_m_s2_2,ctrl_force_cmd_n_0,ctrl_force_cmd_n_1,ctrl_force_cmd_n_2,ctrl_tilt_ff_rad_0,ctrl_tilt_ff_rad_1,ctrl_tilt_angle_p_rad_0,ctrl_tilt_angle_p_rad_1,ctrl_tilt_rate_d_rad_0,ctrl_tilt_rate_d_rad_1,ctrl_tilt_out_rad_0,ctrl_tilt_out_rad_1,ctrl_yaw_angle_p_rad_s,ctrl_yaw_rate_d_rad_s,ctrl_yaw_torque_cmd,ctrl_total_force_n,ctrl_motor_thrust_cmd_n_0,ctrl_motor_thrust_cmd_n_1,ctrl_motor_cmd_us_0,ctrl_motor_cmd_us_1,ctrl_velocity_integral_m_0,ctrl_velocity_integral_m_1,ctrl_desired_attitude_rpy_rad_0,ctrl_desired_attitude_rpy_rad_1,ctrl_desired_attitude_rpy_rad_2,ctrl_attitude_error_0,ctrl_attitude_error_1,ctrl_attitude_error_2,ctrl_rate_error_rad_s_0,ctrl_rate_error_rad_s_1,ctrl_rate_error_rad_s_2,ctrl_moment_cmd_n_m_0,ctrl_moment_cmd_n_m_1,ctrl_moment_cmd_n_m_2,ctrl_horizontal_command_scale,ctrl_moment_utilization,ctrl_thrust_utilization,ctrl_protection_flags,z_ref_m,record_crc32,sector_seq,sector_index
827477062,4,408,11054,6058,412711814,412712,406498,318,9023,4775,-3334,-26,106,-185,27.484375,0.10324469953775406,-0.032276302576065063,0.8920184969902039,9.283540725708008,1.3676401376724243,12.0421781539917,-0.07258451730012894,-0.16699567437171936,89.59738159179688,1529,1500,1746,1500,2000,1000,1000,1000,1727,1623,1512,1847,1795,1591,1486,196,18,17087,17239,3,98.19,8.19,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.013080243021249771,-0.8426467776298523,0.0055469609797000885,-0.003530931193381548,-0.05470787361264229,-0.13131217658519745,0.0,0.04639999940991402,0.003530931193381548,0.1011078730225563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08895000070333481,0.0,0.0,0.0,0.0,0.0,-0.08895000070333481,0.03944024443626404,0.017142614349722862,13.531797409057617,0.002914626384153962,-0.0012668333947658539,-0.010348369367420673,-0.07825572788715363,-0.006534992717206478,-0.1139519065618515,-0.01845928654074669,-0.19285118579864502,-0.07532334327697754,-0.10508783161640167,-6.31439033895731e-05,13.531865119934082,7.08165168762207,6.4502129554748535,1847.0,1795.0,0.0,0.0,0.11280052363872528,0.010546968318521976,1.5273023843765259,-0.11139881610870361,-0.011338939890265465,0.03710762411355972,0.16202835738658905,0.023869823664426804,0.21017566323280334,0.21848763525485992,0.020224742591381073,-6.314391066553071e-05,1.0,0.6202161908149719,0.864934504032135,0,0.048704374581575394,3381338110,1535,516
827477062,4,408,11055,6058,412715849,412716,406502,302,-7110,6361,4577,-121,788,-458,27.359375,-0.11732248961925507,0.19470807909965515,1.0354151725769043,12.641075134277344,2.9557344913482666,13.742371559143066,-0.1028711125254631,-0.17862120270729065,89.6323471069336,1529,1500,1746,1500,2000,1000,1000,1000,1727,1668,1522,1849,1793,1591,1486,200,22,17087,17239,3,98.19,8.19,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.0716681256890297,-0.6978582739830017,-0.08443604409694672,-0.003146718954667449,-0.054459962993860245,-0.13128820061683655,0.0,0.04639999940991402,0.003146718954667449,0.10085996240377426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09134776145219803,0.0,0.0,0.0,0.0,0.0,-0.09134776145219803,0.0421961173415184,0.024301400408148766,13.535055160522461,0.003117533167824149,-0.0017954307841137052,-0.01786966249346733,-0.10642581433057785,-0.0143534941598773,-0.1554149091243744,-0.034714676439762115,-0.2635052800178528,-0.07654380798339844,-0.11992481350898743,-6.87639694660902e-05,13.53514289855957,7.111391544342041,6.4237518310546875,1849.0,1793.0,0.0,0.0,0.1535709649324417,0.019019009545445442,1.529051423072815,-0.15140536427497864,-0.01926445960998535,0.03682155907154083,0.22062838077545166,0.0515872985124588,0.23984962701797485,0.29700028896331787,0.03742092847824097,-6.876401312183589e-05,0.6284632682800293,0.8428841829299927,0.8651440143585205,4,0.04929477348923683,968907974,1535,516
827477062,4,408,11056,6058,412719883,412720,406506,342,-917,15426,1178,-121,-18,-371,27.671875,0.05057026445865631,-0.11258886754512787,1.049641728401184,9.442954063415527,2.3625032901763916,4.802260398864746,-0.15593373775482178,-0.11565220355987549,89.6743392944336,1529,1500,1746,1500,2000,1000,1000,1000,1727,1624,1515,1838,1803,1591,1486,204,26,17087,17239,3,98.19,8.19,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.0811830386519432,-0.46055224537849426,0.018438003957271576,-0.0028345510363578796,-0.0569448359310627,-0.13116666674613953,0.0,0.04639999940991402,0.0028345510363578796,0.10334483534097672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09359128028154373,0.0,0.0,0.0,0.0,0.0,-0.09359128028154373,0.02732701785862446,0.0368448905646801,13.538132667541504,0.0020185192115604877,-0.002721551340073347,-0.012086080387234688,-0.07792975753545761,-0.011287933215498924,-0.11586218327283859,-0.024015169590711594,-0.19452419877052307,-0.07800960540771484,-0.04190762713551521,-4.1970983147621155e-05,13.538209915161133,6.978959560394287,6.5592498779296875,1838.0,1803.0,0.0,0.0,0.1137704998254776,0.01346057839691639,1.5276457071304321,-0.11098828911781311,-0.013245831243693829,0.03823426365852356,0.1648106426000595,0.04123346135020256,0.08381525427103043,0.2204640954732895,0.026315532624721527,-4.197102680336684e-05,1.0,0.625533401966095,0.8653400540351868,0,0.04988517239689827,2959685771,1535,516
827477062,4,408,11057,6058,412723916,412724,406510,332,6663,4485,-4187,-32,259,-220,27.59375,0.0804147720336914,0.05331076681613922,0.9471855163574219,10.567767143249512,1.5086517333984375,14.642151832580566,-0.0817875936627388,-0.13744568824768066,89.72970581054688,1529,1500,1746,1500,2000,1000,1000,1000,1727,1640,1513,1851,1791,1591,1486,208,30,17087,17239,3,98.19,8.19,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.004680085927248001,-0.6339107155799866,-0.05697953701019287,-0.002667616121470928,-0.05921855941414833,-0.13128791749477386,0.0,0.04639999940991402,0.002667616121470928,0.10561855882406235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09583479166030884,0.0,0.0,0.0,0.0,0.0,-0.09583479166030884,0.032483864575624466,0.019329607486724854,13.541224479675293,0.0023988820612430573,-0.0014274587156251073,-0.010247700847685337,-0.08898399770259857,-0.007244457490742207,-0.12970873713493347,-0.019681677222251892,-0.2196742594242096,-0.07994222640991211,-0.1277768760919571,-7.270171772688627e-05,13.541276931762695,7.1341471672058105,6.407129764556885,1851.0,1791.0,0.0,0.0,0.1283724009990692,0.011328177526593208,1.5275698900222778,-0.12672187387943268,-0.011173276230692863,0.03922756016254425,0.18444232642650604,0.026330940425395966,0.2555537521839142,0.24859054386615753,0.021459942683577538,-7.27016813470982e-05,1.0,0.7051782011985779,0.865536093711853,0,0.05047557130455971,910886286,1535,516
827477062,4,408,11058,6058,412727948,412728,406514,328,-7865,9852,5332,-69,769,-488,27.5625,-0.12695838510990143,0.17861080169677734,1.0371620655059814,12.762295722961426,2.553651809692383,12.098112106323242,-0.11897335201501846,-0.1606968343257904,89.76252746582031,1529,1500,1746,1500,2000,1000,1000,1000,1727,1669,1519,1848,1794,1591,1486,212,34,17087,17239,3,98.19,8.19,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.09065447747707367,-0.5129931569099426,-0.031414974480867386,-0.00239249924197793,-0.05768613517284393,-0.13118234276771545,0.0,0.04639999940991402,0.00239249924197793,0.10408613085746765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09817853569984436,0.0,0.0,0.0,0.0,0.0,-0.09817853569984436,0.03798800706863403,0.028124671429395676,13.54439926147461,0.0028046946972608566,-0.002076468663290143,-0.015101308934390545,-0.1070609837770462,-0.012400067411363125,-0.15680986642837524,-0.029714860022068024,-0.265722393989563,-0.08108782768249512,-0.10557594150304794,-6.533227860927582e-05,13.54448127746582,7.098902225494385,6.445579528808594,1848.0,1794.0,0.0,0.0,0.1548946499824524,0.016568778082728386,1.5286946296691895,-0.15241307020187378,-0.016282767057418823,0.03923143446445465,0.22274407744407654,0.044569630175828934,0.2111518830060959,0.29964905977249146,0.03203586861491203,-6.53323222650215e-05,0.6007397174835205,0.8498150706291199,0.8657408952713013,4,0.051065970212221146,3163915571,1535,516
827477062,4,408,11070,6069,412775342,412776,406561,308,120,15309,-297,-69,-192,-360,27.40625,0.04506481811404228,-0.17036433517932892,1.0582695007324219,9.782864570617676,2.797854423522949,3.002951145172119,-0.4398348331451416,-0.03049933910369873,90.21624755859375,1529,1500,1747,1500,2000,1000,1000,1000,1727,1624,1515,1841,1805,1591,1486,260,82,17087,17239,2,,,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.07165984809398651,0.15836188197135925,0.08482383191585541,0.0014971368946135044,-0.05378775671124458,-0.129846453666687,0.0,0.04639999940991402,-0.0014971368946135044,0.1001877561211586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13120727241039276,0.0,0.0,-0.0,0.0,0.0,-0.13120727241039276,0.00723394937813282,0.10432066023349762,13.589229583740234,0.000532329548150301,-0.007676564157009125,-0.010372337885200977,-0.07445432990789413,-0.013318057172000408,-0.11959647387266159,-0.024103853851556778,-0.19481420516967773,-0.09692573547363281,-0.026205692440271378,-4.309602081775665e-05,13.589631080627441,7.010295867919922,6.579335689544678,1841.0,1805.0,0.0,0.0,0.11408502608537674,0.013779183849692345,1.5276864767074585,-0.10645262151956558,-0.011408992111682892,0.04758027195930481,0.1707431972026825,0.048831772059202194,0.052411384880542755,0.22162704169750214,0.02651178650557995,-4.3095995351905e-05,1.0,0.626453697681427,0.8686267733573914,0,0.05816755071282387,1485912833,1535,516
827477062,4,408,11071,6069,412779368,412780,406565,312,11679,653,-2397,-57,143,-177,27.4375,0.07293561100959778,-0.04927876591682434,0.8732537627220154,10.133210182189941,0.9525680541992188,11.954081535339355,-0.4199843406677246,-0.08072710037231445,90.2579116821289,1529,1500,1747,1500,2000,1000,1000,1000,1727,1629,1507,1853,1794,1591,1486,264,86,17087,17239,2,,,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.0652737095952034,-0.015031829476356506,0.0716312974691391,0.00143189646769315,-0.05340341106057167,-0.12957251071929932,0.0,0.04639999940991402,-0.00143189646769315,0.09980341047048569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1334598958492279,0.0,0.0,-0.0,0.0,0.0,-0.1334598958492279,0.019151493906974792,0.0996350571513176,13.592330932617188,0.0014089916367083788,-0.007330101914703846,-0.005048949271440506,-0.07766131311655045,-0.004540819674730301,-0.12387243658304214,-0.011290330439805984,-0.2023642659187317,-0.09838008880615234,-0.10431904345750809,-7.094466127455235e-05,13.592710494995117,7.151078701019287,6.44163179397583,1853.0,1794.0,0.0,0.0,0.11854016780853271,0.007207900285720825,1.5269660949707031,-0.11105331778526306,-0.005547533743083477,0.0486825592815876,0.1768578737974167,0.016625449061393738,0.20863808691501617,0.23015326261520386,0.012404117733240128,-7.09446903783828e-05,1.0,0.6504065990447998,0.8688236474990845,0,0.058760348707437515,247425463,1535,516
827477062,4,408,11072,6069,412783401,412784,406569,318,-10183,7245,4996,-76,859,-559,27.484375,-0.1700078248977661,0.10456514358520508,1.020115613937378,13.196962356567383,2.2621517181396484,11.719367980957031,-0.5641795992851257,-0.10720822215080261,90.28538513183594,1529,1500,1747,1500,2000,1000,1000,1000,1727,1668,1515,1853,1794,1591,1486,268,90,17087,17239,2,,,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.14750659465789795,0.20526377856731415,0.015209153294563293,0.0014284809585660696,-0.052474766969680786,-0.12915921211242676,0.0,0.04639999940991402,-0.0014284809585660696,0.0988747626543045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13571253418922424,0.0,0.0,-0.0,0.0,0.0,-0.13571253418922424,0.025439564138650894,0.13387252390384674,13.595108032226562,0.001871227053925395,-0.00984677392989397,-0.011103375814855099,-0.10081002116203308,-0.010937993414700031,-0.16157957911491394,-0.024250058457255363,-0.2642243504524231,-0.09933900833129883,-0.10227077454328537,-7.056340109556913e-05,13.595789909362793,7.150712013244629,6.445077896118164,1853.0,1794.0,0.0,0.0,0.154239222407341,0.014135753735899925,1.5283052921295166,-0.14408890902996063,-0.012023147195577621,0.048475854098796844,0.2303304374217987,0.0394819937646389,0.20454154908657074,0.29912644624710083,0.026253975927829742,-7.056342292344198e-05,0.6194744110107422,0.8451313972473145,0.8690204620361328,4,0.05935314670205116,3070251113,1535,516
827477062,4,408,11073,6069,412787434,412788,406573,328,1821,15857,-2889,-104,-129,-261,27.5625,0.09373999387025833,-0.17307566106319427,1.0499494075775146,8.731151580810547,2.6027801036834717,4.666043281555176,-0.5897946357727051,-0.060002684593200684,90.33141326904297,1529,1500,1747,1500,2000,1000,1000,1000,1727,1608,1515,1843,1802,1591,1486,272,94,17087,17239,2,,,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.014556236565113068,0.2533411979675293,0.06334930658340454,0.0016917346511036158,-0.04912194237112999,-0.12886667251586914,0.0,0.04639999940991402,-0.0016917346511036158,0.095521941781044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13458536565303802,0.0,0.0,0.0,0.0,0.0,-0.13458536565303802,0.014236497692763805,0.1399347186088562,13.593521118164062,0.0010472998255863786,-0.010293852537870407,-0.010609625838696957,-0.062268778681755066,-0.012328161858022213,-0.10665111988782883,-0.02350703626871109,-0.16932138800621033,-0.10094571113586426,-0.04071890935301781,-4.9582566134631634e-05,13.59424877166748,7.045036792755127,6.549211502075195,1843.0,1802.0,0.0,0.0,0.09925144910812378,0.013412320986390114,1.5274431705474854,-0.08908450603485107,-0.011728142388164997,0.0497831329703331,0.152387335896492,0.04542708396911621,0.08143781870603561,0.19299009442329407,0.025984840467572212,-4.958261706633493e-05,1.0,0.545322835445404,0.8689219355583191,0,0.05994594469666481,3545053819,1535,516
827477062,4,408,11075,6070,412795508,412796,406581,344,-8997,6252,6553,36,750,-601,27.6875,-0.15453696250915527,0.0667990893125534,0.9977589845657349,13.035941123962402,1.2016041278839111,10.255773544311523,-0.6795991063117981,-0.07039162516593933,90.40558624267578,1529,1500,1747,1500,2000,1000,1000,1000,1727,1665,1508,1851,1795,1591,1486,280,102,17087,17239,2,,,88.74,-1.26,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.04222336411476135,0.2260131686925888,0.021069126203656197,0.0021136600989848375,-0.044980425387620926,-0.12831053137779236,0.0,0.04639999940991402,-0.0021136600989848375,0.09138042479753494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1342337280511856,0.0,0.0,0.0,0.0,0.0,-0.1342337280511856,0.016700830310583115,0.161235049366951,13.59280014038086,0.001228652079589665,-0.011861233040690422,-0.004926710389554501,-0.09712846577167511,-0.005801558494567871,-0.15961414575576782,-0.012632561847567558,-0.2586205005645752,-0.10353493690490723,-0.08949850499629974,-6.756174843758345e-05,13.593767166137695,7.134692668914795,6.459074974060059,1851.0,1795.0,0.0,0.0,0.15104825794696808,0.008270925842225552,1.5273665189743042,-0.1388225108385086,-0.005341025069355965,0.0509672686457634,0.22752009332180023,0.02097194828093052,0.1789970099925995,0.2928839325904846,0.013695352710783482,-6.756170478183776e-05,0.6895303726196289,0.8276174068450928,0.868891179561615,4,0.061131540685892105,3091084354,1536,517
