magic,version,size,sequence,dropped_records,timestamp_us,tick_ms,imu_sequence,raw_temperature,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,temperature_c,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg,rc_ch1_us,rc_ch2_us,rc_ch3_us,rc_ch4_us,rc_ch5_us,rc_ch6_us,rc_ch7_us,rc_ch8_us,throttle_us,servo_alpha_us,servo_beta_us,motor_upper_us,motor_lower_us,servo_alpha_feedback_us,servo_beta_feedback_us,servo_alpha_feedback_age_ms,servo_beta_feedback_age_ms,servo_alpha_feedback_sequence,servo_beta_feedback_sequence,servo_feedback_valid_mask,servo_alpha_feedback_deg,servo_alpha_feedback_tilt_deg,servo_beta_feedback_deg,servo_beta_feedback_tilt_deg,rc_armed,rc_link_ok,throttle_over_20,imu_valid,motor_output_reason,rc_link_seen,arm_switch_high,arm_throttle_low,arm_switch_seen_low,arm_switch_prev_high,imu_fault_latched,imu_fault_reason,motor_output_reason_name,acc_nav_m_s2_0,acc_nav_m_s2_1,acc_nav_m_s2_2,vel_est_m_s_0,vel_est_m_s_1,vel_est_m_s_2,vel_ref_m_s_0,vel_ref_m_s_1,vel_err_m_s_0,vel_err_m_s_1,vel_pid_out_m_s2_0,vel_pid_out_m_s2_1,vel_pid_p_m_s2_0,vel_pid_p_m_s2_1,vel_pid_i_m_s2_0,vel_pid_i_m_s2_1,vel_pid_d_m_s2_0,vel_pid_d_m_s2_1,vel_loop_active,ctrl_pos_p_m_s2_0,ctrl_pos_p_m_s2_1,ctrl_pos_p_m_s2_2,ctrl_vel_d_m_s2_0,ctrl_vel_d_m_s2_1,ctrl_vel_d_m_s2_2,ctrl_accel_out_m_s2_0,ctrl_accel_out_m_s2_1,ctrl_accel_out_m_s2_2,ctrl_force_cmd_n_0,ctrl_force_cmd_n_1,ctrl_force_cmd_n_2,ctrl_tilt_ff_rad_0,ctrl_tilt_ff_rad_1,ctrl_tilt_angle_p_rad_0,ctrl_tilt_angle_p_rad_1,ctrl_tilt_rate_d_rad_0,ctrl_tilt_rate_d_rad_1,ctrl_tilt_out_rad_0,ctrl_tilt_out_rad_1,ctrl_yaw_angle_p_rad_s,ctrl_yaw_rate_d_rad_s,ctrl_yaw_torque_cmd,ctrl_total_force_n,ctrl_motor_thrust_cmd_n_0,ctrl_motor_thrust_cmd_n_1,ctrl_motor_cmd_us_0,ctrl_motor_cmd_us_1,ctrl_velocity_integral_m_0,ctrl_velocity_integral_m_1,ctrl_desired_attitude_rpy_rad_0,ctrl_desired_attitude_rpy_rad_1,ctrl_desired_attitude_rpy_rad_2,ctrl_attitude_error_0,ctrl_attitude_error_1,ctrl_attitude_error_2,ctrl_rate_error_rad_s_0,ctrl_rate_error_rad_s_1,ctrl_rate_error_rad_s_2,ctrl_moment_cmd_n_m_0,ctrl_moment_cmd_n_m_1,ctrl_moment_cmd_n_m_2,ctrl_horizontal_command_scale,ctrl_moment_utilization,ctrl_thrust_utilization,ctrl_protection_flags,z_ref_m,ident_att_active,ident_att_axis,ident_att_mode,ident_att_reserved,ident_att_seq,ident_att_signal_rad,ident_att_signal_m_s2,ident_att_elapsed_ms,record_crc32,sector_seq,sector_index
827477062,5,428,1,0,7704006,7704,4777,-32,217,8738,1323,1,-114,13,24.75,-0.044122882187366486,-0.004119690041989088,1.020862340927124,-0.5803409218788147,-0.793350100517273,-3.4206061363220215,-0.14271283149719238,-0.6121861338615417,0.20673297345638275,1580,1500,1264,1500,2000,1503,1000,1000,1322,1439,1501,1814,1822,1489,1490,18,8,239,242,3,89.00999999999999,-0.99,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,-0.012844727374613285,0.0024699531495571136,-0.005363102070987225,-1.2723009604087565e-05,2.4465477963531157e-06,-5.318877811077982e-06,0.0,0.12800000607967377,1.2723009604087565e-05,0.12799756228923798,0.00010816286521730945,1.0881531238555908,0.00010816286521730945,1.0881531238555908,-0.0,-0.0,0.0,0.0,1.0,0.00010816286521730945,1.0881531238555908,0.0010761593002825975,-0.0,-0.0,-0.0,0.00010816286521730945,1.0881531238555908,0.0010761593002825975,0.14878050982952118,1.5208871364593506,13.404229164123535,0.011099064722657204,-0.112973153591156,-0.006508626975119114,0.09262959659099579,0.0049986159428954124,0.003565303748473525,-0.0015375749208033085,0.0962488204240799,0.0,0.029850419610738754,1.0447693057358265e-05,13.491055488586426,6.693289279937744,6.797766208648682,1814.0,1822.0,0.0,0.0,-0.17363828420639038,0.0014060977846384048,0.003387728938832879,0.1752144694328308,-0.012018310837447643,-0.0008105819579213858,-0.010128859430551529,-0.013846571557223797,-0.05970083922147751,-0.10922209918498993,0.0017029859591275454,1.0447646673128475e-05,0.5440765619277954,0.3109843134880066,0.8623260259628296,2,0.005619775969535112,0,0,0,0,0,0.0,0.0,0,76568105,1,0
827477062,5,428,2,0,7708028,7708,4781,-22,121,7625,-1835,-62,-170,13,24.828125,0.086647167801857,0.0016117282211780548,0.9982890486717224,-0.3548901379108429,1.0800687074661255,-3.602142333984375,-0.14496752619743347,-0.569400429725647,0.1955752670764923,1580,1500,1272,1500,2000,1503,1000,1000,1328,1440,1512,1813,1823,1488,1490,2,12,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.1467486470937729,0.019756708294153214,-0.004354310221970081,0.0002625894558150321,8.813341992208734e-05,-5.305721060722135e-05,0.0,0.12800000607967377,-0.0002625894558150321,0.12791186571121216,-0.002247711643576622,1.0948991775512695,-0.002247711643576622,1.0948991775512695,-0.0,-0.0,0.0,0.0,1.0,-0.002247711643576622,1.0948991775512695,0.0031919993925839663,-0.0,-0.0,-0.0,-0.002247711643576622,1.0948991775512695,0.0031919993925839663,0.13526079058647156,1.5306415557861328,13.401394844055176,0.010092695243656635,-0.11371655017137527,-0.012004588730633259,0.09246421605348587,-0.0068058352917432785,0.0021799285896122456,-0.01882839947938919,0.09460218995809555,0.0003894777037203312,0.031434621661901474,1.113838516175747e-05,13.489200592041016,6.688908576965332,6.800292491912842,1813.0,1823.0,0.0,0.0,-0.1732766181230545,0.012232438661158085,0.0014780290657654405,0.17487868666648865,-0.02216687798500061,3.77873657271266e-05,-0.006194001529365778,0.01885075494647026,-0.06286924332380295,-0.10734479129314423,0.020860152319073677,1.1138435183966067e-05,0.5474507808685303,0.30568116903305054,0.8622074723243713,2,0.00506297592073679,0,0,0,0,0,0.0,0.0,0,902554974,1,0
827477062,5,428,3,0,7712047,7712,4785,-28,-382,7212,420,31,-423,-1,24.78125,-0.028568174690008163,0.028678858652710915,0.9821774959564209,-0.11747245490550995,-0.3972659111022949,-9.249817848205566,-0.12445765733718872,-0.5677862763404846,0.16796578466892242,1580,1500,1272,1500,2000,1503,1000,1000,1328,1440,1503,1806,1830,1488,1490,6,16,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.15479053556919098,-0.02195439115166664,0.03926064819097519,0.0005312390858307481,4.963028914062306e-05,3.461173764662817e-05,0.0,0.12800000607967377,-0.0005312390858307481,0.12795037031173706,-0.0046333144418895245,1.1159464120864868,-0.0046333144418895245,1.1159464120864868,-0.0,-0.0,0.0,0.0,1.0,-0.0046333144418895245,1.1159464120864868,0.0045304871164262295,-0.0,-0.0,-0.0,-0.0046333144418895245,1.1159464120864868,0.0045304871164262295,0.13096719980239868,1.5546220541000366,13.400091171264648,0.009773294441401958,-0.11549396812915802,-0.006765089929103851,0.09315929561853409,0.0025035024154931307,0.0007226482266560197,-0.004277165979146957,0.09393586963415146,0.0013532303273677826,0.08071988821029663,2.8725597076117992e-05,13.490606307983398,6.601675033569336,6.888930797576904,1806.0,1830.0,0.0,0.0,-0.1749681830406189,0.002696861047297716,0.0031275851652026176,0.17620772123336792,-0.012493167072534561,-0.0012780652614310384,-0.002050281036645174,-0.006933598313480616,-0.16143977642059326,-0.10660145431756973,0.004739226307719946,2.8725591619149782e-05,0.5579780340194702,0.30353274941444397,0.8622972965240479,2,0.004515775479376316,0,0,0,0,0,0.0,0.0,0,4222642257,1,0
827477062,5,428,4,0,7715062,7716,4788,-18,-872,8264,-357,-77,-448,-24,24.859375,0.0238430667668581,0.03295699879527092,0.9951823949813843,0.3139527440071106,0.3416217565536499,-12.19800853729248,-0.1043824553489685,-0.56486976146698,0.1335693895816803,1580,1500,1284,1500,2000,1503,1000,1000,1339,1442,1507,1803,1834,1488,1490,10,20,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.17830856144428253,-0.058648254722356796,0.07443183660507202,0.0010169189190492034,-8.373542368644848e-05,0.00023636146215721965,0.0,0.12800000607967377,-0.0010169189190492034,0.128083735704422,-0.009072504937648773,1.1427068710327148,-0.009072504937648773,1.1427068710327148,-0.0,-0.0,0.0,0.0,1.0,-0.009072504937648773,1.1427068710327148,0.006555128376930952,-0.0,-0.0,-0.0,-0.009072504937648773,1.1427068710327148,0.006555128376930952,0.12335909903049469,1.5865159034729004,13.397875785827637,0.009207102470099926,-0.11786165833473206,-0.00877124723047018,0.09358832985162735,-0.0021511665545403957,-0.0019282600842416286,-0.01086848508566618,0.0915941670536995,0.00255389092490077,0.10644770413637161,3.8150581531226635e-05,13.492046356201172,6.555270195007324,6.936776161193848,1803.0,1834.0,0.0,0.0,-0.17616324126720428,0.006480864714831114,0.002423927653580904,0.17703482508659363,-0.016204487532377243,-0.0015088291838765144,0.005479509010910988,0.005962424445897341,-0.21289540827274323,-0.10396480560302734,0.012048576027154922,3.8150556065374985e-05,0.5713713765144348,0.2959936559200287,0.862389326095581,2,0.003982975147664547,0,0,0,0,0,0.0,0.0,0,1505906704,1,0
827477062,5,428,5,0,7719123,7720,4792,-16,-295,7359,1043,-75,-108,-29,24.875,0.017058731988072395,0.02410501055419445,0.9883178472518921,0.7074750661849976,1.7614455223083496,-6.934011459350586,-0.07686462998390198,-0.5276188254356384,0.09229913353919983,1580,1500,1284,1500,2000,1503,1000,1000,1339,1443,1515,1809,1828,1488,1490,14,24,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.26310211420059204,-0.09765659272670746,0.08015654236078262,0.0019351140363141894,-0.00041730934754014015,0.000536226318217814,0.0,0.12800000607967377,-0.0019351140363141894,0.12841731309890747,-0.017594626173377037,1.1676080226898193,-0.017594626173377037,1.1676080226898193,-0.0,-0.0,0.0,0.0,1.0,-0.017594626173377037,1.1676080226898193,0.008525049313902855,-0.0,-0.0,-0.0,-0.017594626173377037,1.1676080226898193,0.008525049313902855,0.10190221667289734,1.614129662513733,13.396093368530273,0.007606714032590389,-0.11991103738546371,-0.012256256304681301,0.09388794004917145,-0.011091391555964947,-0.004344278015196323,-0.0232793390750885,0.0893579050898552,0.003994494676589966,0.06051066517829895,2.257677260786295e-05,13.493372917175293,6.633802890777588,6.859570503234863,1809.0,1828.0,0.0,0.0,-0.17724579572677612,0.013575213961303234,0.0010958441998809576,0.17761537432670593,-0.022648517042398453,-0.0014821538934484124,0.012347768992185593,0.03074302338063717,-0.1210213303565979,-0.10144167393445969,0.02581063099205494,2.2576805349672213e-05,0.5838702917098999,0.2887817621231079,0.8624741435050964,2,0.0034645749256014824,0,0,0,0,0,0.0,0.0,0,2411770733,1,0
827477062,5,428,6,0,7723145,7724,4796,-2,169,8228,3811,-38,105,-36,24.984375,-0.07105382531881332,-0.009551173076033592,0.9874008297920227,1.0721304416656494,1.1282408237457275,0.9946480989456177,-0.06954342126846313,-0.515007734298706,0.08236716687679291,1580,1500,1284,1500,2000,1503,1000,1000,1339,1444,1511,1819,1818,1488,1490,18,28,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.23950502276420593,-0.08050554245710373,0.12226187437772751,0.002266509458422661,0.0004891970893368125,0.0009532808908261359,0.0,0.12800000607967377,-0.002266509458422661,0.12751081585884094,-0.021152036264538765,1.1899855136871338,-0.021152036264538765,1.1899855136871338,-0.0,-0.0,0.0,0.0,1.0,-0.021152036264538765,1.1899855136871338,0.008683442138135433,-0.0,-0.0,-0.0,-0.021152036264538765,1.1899855136871338,0.008683442138135433,0.09385576844215393,1.6430109739303589,13.396113395690918,0.00700607942417264,-0.12203587591648102,-0.00967246014624834,0.09447036683559418,-0.0071006473153829575,-0.006582928821444511,-0.016788683831691742,0.08787665516138077,0.0043411860242486,-0.008679942227900028,-1.5185214579105377e-06,13.496820449829102,6.756002902984619,6.740817546844482,1819.0,1818.0,0.0,0.0,-0.1785292774438858,0.009076222777366638,0.001870337757281959,0.17876219749450684,-0.017882099375128746,-0.0020222486928105354,0.018712205812335014,0.01969151757657528,0.017359884455800056,-0.09978975355625153,0.018622320145368576,-1.518564658908872e-06,0.5950866937637329,0.2840065658092499,0.862694501876831,2,0.002946174703538418,0,0,0,0,0,0.0,0.0,0,767984363,1,0
827477062,5,428,7,0,7727180,7728,4800,2,382,8964,-1744,-34,83,-22,25.015625,0.006364762783050537,-0.01720753312110901,1.0122150182724,0.9956461191177368,0.8188210129737854,2.6814396381378174,-0.07907211780548096,-0.5733636617660522,0.09139217436313629,1580,1500,1284,1500,2000,1503,1000,1000,1339,1444,1509,1821,1815,1488,1490,22,32,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.12107332795858383,-0.039386339485645294,0.1305302530527115,0.0028327724430710077,0.00024260289501398802,0.0014902427792549133,0.0,0.12800000607967377,-0.0028327724430710077,0.12775740027427673,-0.026246370747685432,1.1837055683135986,-0.026246370747685432,1.1837055683135986,-0.0,-0.0,0.0,0.0,1.0,-0.026246370747685432,1.1837055683135986,0.010653362609446049,-0.0,-0.0,-0.0,-0.026246370747685432,1.1837055683135986,0.010653362609446049,0.10075370967388153,1.6366655826568604,13.393123626708984,0.0075226519256830215,-0.12159562110900879,-0.009068455547094345,0.0944080501794815,-0.005154411308467388,-0.0061155445873737335,-0.01426001638174057,0.08829610794782639,0.004026153590530157,-0.023399975150823593,-6.780843250453472e-06,13.493131637573242,6.780470371246338,6.7126617431640625,1821.0,1815.0,0.0,0.0,-0.17819131910800934,0.006943424232304096,0.0022266050800681114,0.17859405279159546,-0.0167599655687809,-0.0021169567480683327,0.017377302050590515,0.014291122555732727,0.046799950301647186,-0.10023938864469528,0.015813618898391724,-6.780837338737911e-06,0.5919982194900513,0.28536421060562134,0.8624587059020996,2,0.0024277744814753532,0,0,0,0,0,0.0,0.0,0,816117413,1,0
827477062,5,428,8,0,7731219,7732,4804,-12,1125,7855,896,51,79,-17,24.90625,0.029295101761817932,-0.038533855229616165,0.9964432120323181,0.8151203393936157,-0.0775483250617981,2.3185155391693115,-0.09285607933998108,-0.5416774153709412,0.09983228147029877,1580,1500,1299,1500,2000,1503,1000,1000,1351,1443,1503,1820,1816,1488,1490,26,36,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.20757237076759338,0.010144207626581192,0.12506751716136932,0.003476247191429138,0.00015875496319495142,0.0019888535607606173,0.0,0.12800000607967377,-0.003476247191429138,0.12784124910831451,-0.03192080557346344,1.1739083528518677,-0.03192080557346344,1.1739083528518677,-0.0,-0.0,0.0,0.0,1.0,-0.03192080557346344,1.1739083528518677,0.010047327727079391,-0.0,-0.0,-0.0,-0.03192080557346344,1.1739083528518677,0.010047327727079391,0.08581192791461945,1.6265149116516113,13.393705368041992,0.006406797096133232,-0.12084455788135529,-0.005116061307489872,0.09437929093837738,0.0004877574974671006,-0.0050058066844940186,-0.0046558678150177,0.08934830874204636,0.0037315383087843657,-0.02023286558687687,-5.775480531156063e-06,13.492377281188965,6.775066375732422,6.717311382293701,1820.0,1816.0,0.0,0.0,-0.1778840273618698,0.00022390088997781277,0.003400853369385004,0.17853039503097534,-0.009456057101488113,-0.0024937172420322895,0.014226533472537994,-0.0013534736353904009,0.04046573117375374,-0.10142485797405243,0.005161403678357601,-5.775464614998782e-06,0.5871711373329163,0.28875523805618286,0.8624104857444763,2,0.0019273743964731693,0,0,0,0,0,0.0,0.0,0,614231542,1,0
827477062,5,428,9,0,7735223,7736,4808,-22,429,7823,2015,63,-40,3,24.828125,-0.025116268545389175,-0.028816048055887222,0.9897882342338562,0.21125063300132751,-1.3031322956085205,0.5923305749893188,-0.11868572235107422,-0.5428900718688965,0.10598328709602356,1580,1500,1306,1500,2000,1503,1000,1000,1357,1441,1495,1818,1817,1488,1490,30,40,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.20106752216815948,0.06835809350013733,0.14745451509952545,0.00429343618452549,0.00033490333589725196,0.002545146271586418,0.0,0.12800000607967377,-0.00429343618452549,0.12766510248184204,-0.038194481283426285,1.1357109546661377,-0.038194481283426285,1.1357109546661377,-0.0,-0.0,0.0,0.0,1.0,-0.038194481283426285,1.1357109546661377,0.011848527006804943,-0.0,-0.0,-0.0,-0.038194481283426285,1.1357109546661377,0.011848527006804943,0.07757210731506348,1.5803523063659668,13.390695571899414,0.0057929209433496,-0.11747332662343979,-0.00045659858733415604,0.09370578080415726,0.008212781511247158,-0.0012978904414922,0.007752588018774986,0.09239231050014496,0.0035168277099728584,-0.00516905914992094,-5.782349035143852e-07,13.483851432800293,6.744816780090332,6.739034652709961,1818.0,1817.0,0.0,0.0,-0.17604410648345947,-0.008359803818166256,0.004882503766566515,0.17714816331863403,-0.0008443729020655155,-0.0031057046726346016,0.003687018994241953,-0.0227439496666193,0.01033811829984188,-0.1048021912574768,-0.00858902558684349,-5.782810035270813e-07,0.5681764483451843,0.2985590994358063,0.8618655204772949,2,0.0014533743960782886,0,0,0,0,0,0.0,0.0,0,1182430994,2,1
827477062,5,428,10,0,7739199,7740,4812,-8,1107,8400,-2715,35,22,18,24.9375,0.0806879848241806,-0.04686849191784859,1.0343966484069824,-0.19947466254234314,-1.0869241952896118,-0.03582233190536499,-0.14162054657936096,-0.5351935029029846,0.10448113083839417,1580,1500,1306,1500,2000,1503,1000,1000,1357,1440,1496,1817,1818,1488,1490,34,44,240,242,3,88.92,-1.08,89.1,-0.8999999999999999,1,1,1,1,1,1,1,0,1,1,0,0,stabilized_mix,0.2609049379825592,0.12574757635593414,0.08836334943771362,0.00509386183694005,0.0007081369985826313,0.0030321641825139523,0.0,0.12800000607967377,-0.00509386183694005,0.12729187309741974,-0.04433232173323631,1.1078323125839233,-0.04433232173323631,1.1078323125839233,-0.0,-0.0,0.0,0.0,1.0,-0.04433232173323631,1.1078323125839233,0.013617807999253273,-0.0,-0.0,-0.0,-0.04433232173323631,1.1078323125839233,0.013617807999253273,0.06725006550550461,1.5476107597351074,13.387826919555664,0.0050231823697686195,-0.11508608609437943,-0.0005500754341483116,0.09319525212049484,0.006853772327303886,0.0012259851209819317,0.0063048964366316795,0.09442722797393799,0.0035692628007382154,0.0003126088122371584,1.3586832210421562e-06,13.477148056030273,6.731780529022217,6.745367527008057,1817.0,1818.0,0.0,0.0,-0.17457567155361176,-0.008065007627010345,0.004773401189595461,0.17609819769859314,-0.0010136552155017853,-0.003036553505808115,-0.0034814896062016487,-0.01897040568292141,-0.0006252176244743168,-0.10705212503671646,-0.006979858968406916,1.3586550267064013e-06,0.5543594360351562,0.3051203489303589,0.8614370822906494,2,0.0009877743432298303,0,0,0,0,0,0.0,0.0,0,2192328369,2,1
